"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","1","0","2090","20","0","0"
"East Jaintia Hills","0","0","0","2677","40","0","0"
"East Khasi Hills","1","5","0","47915","1080","13","5"
"Eastern West Khasi Hills","0","0","0","161","9","0","0"
"North Garo Hills","1","0","0","1921","10","1","0"
"Ri-Bhoi","1","0","0","10607","102","7","0"
"South Garo Hills","0","0","0","1442","16","0","0"
"South West Garo Hills","0","0","0","2271","21","1","0"
"South West Khasi Hills","0","0","0","2723","20","0","0"
"West Garo Hills","3","1","0","11893","84","20","2"
"West Jaintia Hills","0","0","0","7328","142","0","0"
"West Khasi Hills","0","0","0","5672","78","0","0"
"Total","6","7","0","96700","1622","42","7"
