,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10747,10618,129,2023-01-18,TT,44681371,530728,44148645,2023-01-18 16:00:02.783066,913668070,2023-01-17 00:00:00,175392,2201829958,1027255336,951359537,223215085,991263,347616,353284,290363,https://www.icmr.gov.in/,138,2,173,78050,11948,3150,93148,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2339078,2324342,14733,2023-01-18,TT,44681371,530728,44148645,2023-01-18 16:00:02.783066,913668070,2023-01-17 00:00:00,175392,2201829958,1027255336,951359537,223215085,110561583,44702398,47572389,18286796,https://www.icmr.gov.in/,138,2,173,78050,11948,3150,93148,11,16,23,50,0,4,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,66891,66595,296,2023-01-18,TT,44681371,530728,44148645,2023-01-18 16:00:02.783066,913668070,2023-01-17 00:00:00,175392,2201829958,1027255336,951359537,223215085,1911919,960330,820482,131107,https://www.icmr.gov.in/,138,2,173,78050,11948,3150,93148,0,0,6,6,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746100,738065,8035,2023-01-18,TT,44681371,530728,44148645,2023-01-18 16:00:02.783066,913668070,2023-01-17 00:00:00,175392,2201829958,1027255336,951359537,223215085,50287953,24811690,22132528,3343735,https://www.icmr.gov.in/,138,2,173,78050,11948,3150,93148,8,70,141,219,0,0,0,,,1332900000,Assam,34293000
4,Bihar,851404,839100,12303,2023-01-18,TT,44681371,530728,44148645,2023-01-18 16:00:02.783066,913668070,2023-01-17 00:00:00,175392,2201829958,1027255336,951359537,223215085,157226818,73473415,67890401,15863002,https://www.icmr.gov.in/,138,2,173,78050,11948,3150,93148,282,742,568,1592,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,99358,98174,1181,2023-01-18,TT,44681371,530728,44148645,2023-01-18 16:00:02.783066,913668070,2023-01-17 00:00:00,175392,2201829958,1027255336,951359537,223215085,2283634,1185204,986052,112378,https://www.icmr.gov.in/,138,2,173,78050,11948,3150,93148,12,24,23,59,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1177770,1163614,14146,2023-01-18,TT,44681371,530728,44148645,2023-01-18 16:00:02.783066,913668070,2023-01-17 00:00:00,175392,2201829958,1027255336,951359537,223215085,49166811,21267511,20343420,7555880,https://www.icmr.gov.in/,138,2,173,78050,11948,3150,93148,5,12,40,57,2,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11591,11587,4,2023-01-18,TT,44681371,530728,44148645,2023-01-18 16:00:02.783066,913668070,2023-01-17 00:00:00,175392,2201829958,1027255336,951359537,223215085,1579418,782294,636877,160247,https://www.icmr.gov.in/,138,2,173,78050,11948,3150,93148,4,1,11,16,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2007324,1980782,26522,2023-01-18,TT,44681371,530728,44148645,2023-01-18 16:00:02.783066,913668070,2023-01-17 00:00:00,175392,2201829958,1027255336,951359537,223215085,37381153,18293430,15710797,3376926,https://www.icmr.gov.in/,138,2,173,78050,11948,3150,93148,77,79,255,411,11,1,0,,,1332900000,Delhi,19814000
9,Goa,259113,255084,4013,2023-01-18,TT,44681371,530728,44148645,2023-01-18 16:00:02.783066,913668070,2023-01-17 00:00:00,175392,2201829958,1027255336,951359537,223215085,2873307,1439872,1295457,137978,https://www.icmr.gov.in/,138,2,173,78050,11948,3150,93148,1,2,17,20,3,2,0,,,1332900000,Goa,1540000
