"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
12-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","17","181859","180831[11]","99.43","924","104","725","2684","4021302"
"2","Faridabad","5","100001","99244[7]","99.24","717","40","1162","3927","2859310"
"3","Hisar","0","54002","52865[3]","97.89","1136","1","536","1916","1519261"
"4","Sonepat","0","47145","46891","99.46","254","0","891","2819","1611746"
"5","Karnal","0","40052","39490[1]","98.60","553","9","211","701","1653980"
"6","Panipat","0","31155","30517[1]","97.95","638","0","1257","4502","1350317"
"7","Panchkula","7","30872","30460[3]","98.67","379","33","147","658","823699"
"8","Ambala","0","30155","29643","98.30","509","3","202","946","1647278"
"9","Sirsa","0","29296","28776[1]","98.23","508","12","493","879","1281765"
"10","Rohtak","0","25922","25365","97.85","534","6","451","1444","1147815"
"11","Yamunanagar","0","24657","24234[1]","98.28","414","9","91","891","1309323"
"12","Bhiwani","0","22411","21758","97.09","652","1","120","1726","1297610"
"13","Kurukshetra","1","22160","21799","98.37","357","4","137","853","984997"
"14","Mahindergarh","0","21689","21534","99.29","155","0","163","1148","975130"
"15","Jind","0","21210","20677","97.49","533","0","304","1479","1134279"
"16","Rewari","0","20329","20108","98.91","221","0","582","4358","1122338"
"17","Jhajjar","0","18850","18516","98.23","328","0","331","1532","1136728"
"18","Fatehabad","0","17880","17398","97.30","482","0","101","437","868676"
"19","Kaithal","0","11250","10900","96.89","346","4","114","769","1022816"
"20","Palwal","0","11031","10875","98.59","153","3","848","1599","1032399"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","10","41","688486"
"22","Nuh","0","5014","4891","97.55","123","0","722","223","761827"
"Total","","30","772019","761712[28]","98.66","10055","229","9598","35532","30251082"
