Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,Column 19
2022-06-28,JK,Srinagar,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,102853,908,101854,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Baramulla,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,37678,304,37370,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Budgam,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,34859,237,34617,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Pulwama,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,18431,201,18228,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Kupwara,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,21775,174,21595,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Anantnag,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,22438,219,22216,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Bandipora,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,13688,119,13569,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Ganderbal,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,13630,84,13543,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Kulgam,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,16330,119,16205,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Shopiyan,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,6307,60,6247,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Jammu,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,76782,1227,75309,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Udhampur,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,14790,147,14636,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Rajouri,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,12814,249,12564,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Doda,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,11535,144,11389,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Kathua,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,11426,166,11255,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Samba,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,9112,125,8969,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Kishtwar,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,5897,46,5849,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Punch,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,7745,110,7631,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Ramban,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,8139,69,8070,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
2022-06-28,JK,Reasi,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,8704,48,8656,,2022-06-28 19:55:54.488220,2022-06-28 17:00:00+05:30,https://twitter.com/diprjk,,454933,4756,449772,25742529,
