"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","1310","1095032","2","19585"
"2","Thane","48","118824","0","2289"
"3","TMC","204","194071","0","2164"
"4","Navi Mumbai","202","171277","0","2090"
"5","KDMC","56","177225","0","2974"
"6","Ulhasnagar MC","16","26667","0","680"
"7","Bhivandi Nijampur MC","1","13190","0","496"
"8","Mira Bhayandar MC","47","77779","0","1227"
"9","Palghar","9","64854","0","1244"
"10","Vasai Virar MC","34","100239","0","2164"
"11","Raigad","48","139387","0","3465"
"12","Panvel MC","68","107601","0","1482"
"","Mumbai circle total","2043","2286146","2","39860"
"13","Nashik","17","183859","0","3814"
"14","Nashik MC","20","278353","0","4752"
