"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","122","1059992","0","19563"
"2","Thane","1","118058","0","2287"
"3","TMC","21","189711","0","2163"
"4","Navi Mumbai","5","166883","0","2090"
"5","KDMC","0","176201","0","2973"
"6","Ulhasnagar MC","0","26525","1","680"
"7","Bhivandi Nijampur MC","0","13148","0","496"
"8","Mira Bhayandar MC","1","76648","0","1227"
"9","Palghar","0","64668","0","1244"
"10","Vasai Virar MC","0","98954","0","2163"
"11","Raigad","2","138318","0","3463"
"12","Panvel MC","6","106078","0","1482"
"","Mumbai circle total","158","2235184","1","39831"
"13","Nashik","2","183748","0","3813"
"14","Nashik MC","4","278105","0","4752"
