,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316691,14730,2304792,33465980
1,Anakapalli,0,0,0,0,2316691,14730,2304792,33465980
2,Anantapur,177611,0,0,0,2316691,14730,2304792,33465980
3,Annamayya,0,0,0,0,2316691,14730,2304792,33465980
4,Bapatla,0,0,0,0,2316691,14730,2304792,33465980
5,Chittoor,272394,0,0,0,2316691,14730,2304792,33465980
6,East Godavari,316586,0,0,0,2316691,14730,2304792,33465980
7,Eluru,0,0,0,0,2316691,14730,2304792,33465980
8,Guntur,203244,0,0,0,2316691,14730,2304792,33465980
9,Kakinada,0,0,0,0,2316691,14730,2304792,33465980
10,Konaseema,0,0,0,0,2316691,14730,2304792,33465980
11,Krishna,136896,0,0,0,2316691,14730,2304792,33465980
12,Kurnool,144244,0,0,0,2316691,14730,2304792,33465980
13,Nandyal,0,0,0,0,2316691,14730,2304792,33465980
14,NTR District,0,0,0,0,2316691,14730,2304792,33465980
15,Palnadu,1,0,0,0,2316691,14730,2304792,33465980
16,Parvathipuram Manyam,0,0,0,0,2316691,14730,2304792,33465980
17,Prakasam,155937,0,0,0,2316691,14730,2304792,33465980
18,S.P.S. Nellore,164375,0,0,0,2316691,14730,2304792,33465980
19,Sri Sathya Sai,1,0,0,0,2316691,14730,2304792,33465980
20,Srikakulam,133953,0,0,0,2316691,14730,2304792,33465980
21,Tirupati,2,0,0,0,2316691,14730,2304792,33465980
22,Visakhapatnam,190940,0,0,0,2316691,14730,2304792,33465980
23,Vizianagaram,92241,0,0,0,2316691,14730,2304792,33465980
24,West Godavari,193378,0,0,0,2316691,14730,2304792,33465980
25,Y.S.R. Kadapa,134888,0,0,0,2316691,14730,2304792,33465980
