"S. No.","District","Total Confirmed 
Cases","Total Active 
Cases","Total Cured","Deaths"
"1","Ludhiana","87664","15","85539","2110"
"2","SAS Nagar","68954","42","67840","1072"
"3","Jalandhar","63494","33","61962","1499"
"4","Patiala","48974","24","47588","1362"
"5","Amritsar","47430","6","45826","1598"
"6","Bathinda","41777","9","40722","1046"
"7","Hoshiarpur","30949","61","29895","993"
"8","Gurdaspur","22403","9","21592","802"
"9","Fazilka","20282","3","19749","530"
"10","Pathankot","18951","55","18469","427"
"11","Muktsar","18801","17","18260","524"
"12","Kapurthala","17868","3","17309","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15609","0","15228","381"
"15","Ferozepur","14389","10","13875","504"
"16","Faridkot","13944","4","13621","319"
"17","Ropar","12984","9","12551","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8904","5","8563","336"
"20","Moga","8684","2","8448","234"
"21","Tarn Taran","8064","12","7671","381"
"22","Barnala","5955","9","5702","244"
"","Total","603320","331","586384","16605"
