,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
10,10,10,10,10,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Kupwara,2,0,5,,755,6871,51,30.0,0.0,43.0,,1003.0,43567.0,875564,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,14986,167,14761,,681777,612433,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
11,11,11,11,11,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Pulwama,5,0,6,,1568,1682,21,39.0,0.0,24.0,,1986.0,38410.0,570060,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,15747,195,15503,,438170,422990,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
12,12,12,12,12,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Punch,1,0,0,,461,252,18,23.0,0.0,9.0,,672.0,4806.0,476820,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,6617,100,6488,,390376,380093,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
13,13,13,13,13,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Rajouri,0,0,0,,2829,8892,11,11.0,0.0,11.0,,3078.0,78402.0,619266,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,11387,239,11131,,506227,491766,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
14,14,14,14,14,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Ramban,4,0,0,,1765,155,9,8.0,0.0,5.0,,1983.0,5569.0,283313,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,6081,67,6006,,226050,217796,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
15,15,15,15,15,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Reasi,5,0,3,,1162,1133,21,37.0,0.0,17.0,,1550.0,8808.0,314714,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,7034,43,6953,,253606,241332,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
16,16,16,16,16,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Samba,4,0,1,,2246,819,2,12.0,0.0,1.0,,3379.0,8374.0,318611,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,7187,120,7053,,300377,256213,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
17,17,17,17,17,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Shopiyan,1,0,0,,717,223,1,1.0,0.0,1.0,,778.0,21696.0,265960,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,5619,59,5558,,205001,205529,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
18,18,18,18,18,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Srinagar,57,0,36,,757,822,329,295.0,1.0,293.0,,1514.0,10172.0,1269751,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,78934,883,77586,,969550,916248,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
19,19,19,19,19,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Udhampur,6,0,0,,4244,3987,12,18.0,0.0,5.0,,4826.0,19761.0,555357,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,11491,139,11330,,440734,386854,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
