"District","Positive 
Cases 
declared 
today","Declared 
Negative 
today","Positive 
cases 
admitted in 
the district","Other Districts"
"Thiruvananthapuram","750","792","11456","Kollam - 95, Pathanamthitta - 18, Alappuzha - 9, 
Kottayam - 13, Idukki - 13, Ernakulam - 9, Thrissur - 8, 
Palakkad - 4, Malappuram - 3, Kozhikode - 3, Kannur - 
1, Kasaragod - 1, Others - 61"
"Kollam","304","609","6282","Pathanamthitta - 10, Idukki - 1, Ernakulam - 1"
"Pathanamthitta","350","27","4741","Alappuzha - 3, Kottayam - 8, Idukki - 4, Ernakulam - 4, 
Thrissur - 1"
"Alappuzha","132","390","2847","Kollam - 4, Pathanamthitta - 40, Kottayam - 34, Idukki - 
6, Ernakulam - 3, Palakkad - 5, Kannur - 1"
"Kottayam","228","502","6186","Pathanamthitta - 50, Alappuzha - 1, Idukki - 54, 
Ernakulam - 31, Thrissur - 1, Kannur - 2"
"Idukki","255","875","4195","Alappuzha - 1, Kottayam - 14, Ernakulam - 35"
"Ernakulam","867","1366","10212","Pathanamthitta - 10, Kottayam - 11, Idukki - 24, 
Thrissur - 2, Palakkad - 12, Wayanad - 2, Kannur - 4, 
Kasaragod - 2, Others - 312"
"Thrissur","537","107","6939","Kollam - 1, Pathanamthitta - 1, Alappuzha - 1, Idukki - 
1, Ernakulam - 6, Palakkad - 26, Malappuram - 1, 
Kannur - 1, Others - 1"
"Palakkad","264","398","3206",""
"Malappuram","302","454","4812","Thiruvananthapuram - 2, Pathanamthitta - 4, Kottayam 
- 2, Idukki - 1, Ernakulam - 4, Thrissur - 4, Kannur - 2, 
Kasaragod - 1"
"Kozhikode","637","953","7795","Thiruvananthapuram - 2, Pathanamthitta - 1, Kottayam 
- 5, Ernakulam - 12, Malappuram - 4, Wayanad - 21, 
Kannur - 61, Kasaragod - 13, Others - 1"
"Wayanad","184","269","2849","Kannur - 3"
"Kannur","417","441","3846",""
"Kasaragod","70","142","1420","Kannur - 2"
"Total","5297","7325","76786",""
