TT|2022-11-18 07:55:10.606203|GetSource|ERR|File Not Found
TT|2022-11-18 09:55:09.413658|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-11-18 09:55:23.476574|ExtractFromHTML|OK|COMPLETED
TT|2022-11-18 11:55:09.666861|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-11-18 11:55:24.715212|ExtractFromHTML|OK|COMPLETED
TT|2022-11-18 19:55:11.975153|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-11-18 19:55:34.024630|ExtractFromHTML|OK|COMPLETED
TT|2022-11-18 20:55:09.690388|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-11-18 20:55:32.147910|ExtractFromHTML|OK|COMPLETED
TT|2022-11-18 21:55:10.385610|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-11-18 21:55:33.084173|ExtractFromHTML|OK|COMPLETED
TT|2022-11-18 22:55:09.472936|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-11-18 22:55:33.345115|ExtractFromHTML|OK|COMPLETED
TT|2022-11-18 23:55:09.181926|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-11-18 23:55:26.172240|ExtractFromHTML|OK|COMPLETED
TT|2022-11-19 07:55:08.743949|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-11-19 09:55:10.059278|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-11-19 11:55:09.520395|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
