District,Recovered,Deceased,Active
लखनऊ,293149,2694,475
गोरखपरु,65657,866,241
गौतम बिु नगर,97398,490,234
प्रयागराज,87155,1107,127
बाराबकंी,23514,225,126
गाज़ियाबाद,84095,473,125
लखीमपरु-खीरी,29828,299,103
िाराणसी,97405,988,91
राय बरेली,21183,347,80
लललतपरु,14606,134,79
झासी,43767,674,77
मरेठ,87980,931,58
आगरा,35612,464,55
हरदोई,17174,367,55
सलु्तानपरु,16796,144,55
कानपरु नगर,91410,1923,51
आजमगढ़,19377,235,48
जौनपरु,24311,244,40
महाराजगजं,14628,146,38
कुशीनगर,16185,235,37
उन्नाव,16832,257,37
अम्बडेकर नगर,5905,162,34
कन्नौज,10773,125,29
अमरोहा,19261,207,28
प्रतापगढ़,16678,163,28
बहराइच,13381,178,26
देवररया,22364,230,26
जालौन,13820,208,26
मथरुा,25542,406,26
एटा,12078,100,25
फतहेपरु,8252,141,25
लसद्धाथ नगर,11499,102,25
बलुदंशहर,26294,252,24
बादा,12025,166,21
बरेली,50059,377,21
क्रिरोजाबाद,10527,136,20
सहारनपरु,38335,426,20
हमीरपरु,6032,102,18
कौशाम्बी,4855,72,18
सभंल,11007,109,18
सतं कबीर नगर,8826,101,18
सोनभद्र,18625,257,18
मनैपरुी,11455,189,17
