"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","1","0","2079","19","3","0"
"East Jaintia Hills","0","3","0","2671","39","7","0"
"East Khasi Hills","6","10","1","47788","1078","41","19"
"Eastern West Khasi Hills","0","0","0","157","9","1","0"
"North Garo Hills","0","0","0","1918","10","3","0"
"Ri-Bhoi","2","3","0","10549","101","22","2"
"South Garo Hills","1","3","1","1432","15","3","1"
"South West Garo Hills","4","4","0","2247","21","15","0"
"South West Khasi Hills","0","0","0","2716","30","7","1"
"West Garo Hills","9","6","0","11763","84","241","3"
"West Jaintia Hills","1","7","0","7315","141","20","3"
"West Khasi Hills","0","0","0","5670","78","0","0"
"Total","23","37","2","96305","1615","363","29"
