"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","1","0","","","","0"
"East Jaintia Hills","0","3","0","","","","0"
"East Khasi Hills","6","10","1","2079","19","3","19"
"Eastern West Khasi Hills","0","0","0","2671","39","7","0"
"North Garo Hills","0","0","0","47788","1078","41","0"
"Ri-Bhoi","2","3","0","157","9","1","2"
"South Garo Hills","1","3","1","1918","10","3","1"
"South West Garo Hills","4","4","0","10549","101","22","0"
"South West Khasi Hills","0","0","0","1432","15","3","1"
"West Garo Hills","9","6","0","2247","21","15","3"
"West Jaintia Hills","1","7","0","2716","20","7","3"
"West Khasi Hills","0","0","0","11763","84","241","0"
"Total","23","37","2","7315
96305","141
1615","20
363","29"
