"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","75,083"
"2","Number of persons tested positive today in Tamil Nadu","15,330"
"","Passengers returned from other countries  by 
International airport tested positive today","Sri Lanka - 3 
Qatar - 2 
UAE - 1"
"","Passengers returned from other countries  by Domestic 
airport tested positive today","Delhi - 2 
Maharashtra - 1"
"","Passengers returned from other Countries/ states by 
Road tested positive today","West Bengal - 18 
Bihar - 6 
Kerala - 3 
Gujarat - 3 
Assam - 2 
Bangladesh - 2 
Andhra Pradesh - 2 
Sikkim - 1 
Delhi - 1 
Jharkhand - 1 
Uttar Pradesh - 1"
"","Total","15,379"
"3","Total Number of persons tested positive till date","28,29,655"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,35,672/ 
5,87,98,470@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,34,658/ 
5,78,54,237"
"6","No. of Male / Female / Transgender tested positive today","9,159/6,220/0"
"7","No. of Male / Female / Transgender tested positive till date","16,52,157/11,77,460/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","3,043/ 
27,17,686"
"10","Total number of deaths today/ till date","20(11 Private &  
9 Govt) /36,886"
