"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"4","Raigad","250293","244137","4949","1207"
"5","Ratnagiri","84804","82163","2546","95"
"6","Sindhudurg","57407","55791","1533","83"
"7","Pune","1467323","1441714","20546","5063"
"8","Satara","278492","271648","6717","127"
"9","Sangli","227305","221549","5666","90"
"10","Kolhapur","220660","214682","5907","71"
"11","Solapur","227421","221348","5880","193"
"12","Nashik","473858","464575","8911","372"
"13","Ahmednagar","378075","370668","7243","164"
"14","Jalgaon","149747","146897","2762","88"
"15","Nandurbar","46646","45664","962","20"
"16","Dhule","50865","50138","670","57"
"17","Aurangabad","176976","172513","4284","179"
"18","Jalna","66444","65146","1224","74"
"19","Beed","109277","106367","2885","25"
"20","Latur","105156","102586","2489","81"
"21","Parbhani","58614","57323","1279","12"
"22","Hingoli","22218","21694","514","10"
"23","Nanded","102783","100027","2704","52"
"24","Osmanabad","75341","73100","2139","102"
"25","Amravati","106092","104423","1624","45"
"26","Akola","66377","64815","1470","92"
"27","Washim","46059","45133","641","285"
