"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40682","0","40315","0","0","367","0"
"2","Ballari","0","115518","0","113738","15","0","1763","2"
"3","Belagavi","1","100143","0","99132","7","0","1002","2"
"4","Bengaluru Rural","0","79286","0","78372","7","0","907","0"
"5","Bengaluru urban","103","1783780","73","1765086","1731","0","16962","1"
"6","Bidar","0","29808","0","29383","1","0","420","4"
"7","Chamarajanagara","0","43618","0","43082","1","0","524","11"
"8","Chikkaballapura","0","55626","0","55165","0","0","460","1"
"9","Chikkamagaluru","0","57250","0","56841","3","0","406","0"
"10","Chitradurga","0","46356","0","46113","4","0","239","0"
"11","Dakshina 
Kannada","2","135514","1","133656","8","0","1840","10"
"12","Davanagere","0","57540","0","56917","0","0","623","0"
"13","Dharwada","0","84088","0","82694","3","0","1384","7"
"14","Gadag","0","30584","0","30248","0","0","336","0"
"15","Hassana","0","143860","0","142550","1","0","1307","2"
"16","Haveri","1","26840","0","26170","1","0","669","0"
"17","Kalaburagi","0","76607","0","75724","3","0","880","0"
"18","Kodagu","0","49264","0","48911","0","0","352","1"
"19","Kolara","0","63007","0","62340","3","0","664","0"
"20","Koppala","0","41281","0","40743","0","0","538","0"
"21  Mandya","","0","101485","0","100773","1","0","711","0"
"22  Mysuru","","0","229477","0","226916","2","0","2559","0"
"23","Raichuru","0","45449","0","45085","0","0","364","0"
"24","Ramanagara","1","29808","0","29460","1","0","347","0"
"25","Shivamogga","0","83330","0","82199","2","0","1128","1"
"26","Tumakuru","0","159845","0","158624","3","0","1218","0"
"27","Udupi","2","95612","0","95061","5","0","546","0"
"28","Uttara Kannada","1","71167","0","70355","3","0","809","0"
"29","Vijayapura","0","41011","2","40481","10","0","520","0"
"30","Yadagiri","0","29965","0","29753","0","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","111","3947837","76","3905920","1815","0","40060","42"
"*
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today.  
  
 
 
 
Date: 02-05-2022 
Page 5 of 6","","","","","","","","",""
