"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","74","1060766","0","19566"
"2","Thane","1","118061","0","2289"
"3","TMC","9","189782","0","2163"
"4","Navi Mumbai","4","166930","0","2090"
"5","KDMC","0","176209","0","2973"
"6","Ulhasnagar MC","0","26525","0","680"
"7","Bhivandi Nijampur MC","0","13149","0","496"
"8","Mira Bhayandar MC","1","76661","0","1227"
"9","Palghar","0","64671","0","1244"
"10","Vasai Virar MC","2","98967","0","2163"
"11","Raigad","1","138326","0","3463"
"12","Panvel MC","9","106120","0","1482"
"","Mumbai circle total","101","2236167","0","39836"
"13","Nashik","2","183754","0","3813"
"14","Nashik MC","0","278110","0","4752"
