"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","5","0","0","0","1904","1885","14"
"East Jaintia Hills","3","1","0","0","2443","2408","32"
"East Khasi Hills","222","15","59","0","41755","40532","1001"
"North Garo Hills","0","0","0","0","1685","1677","8"
"Ri-Bhoi","6","0","0","0","9731","9635","90"
"South Garo Hills","1","1","0","0","1218","1205","12"
"South West Garo Hills","0","0","0","0","1873","1855","18"
"South West Khasi Hills","0","0","0","0","2549","2532","17"
"West Garo Hills","4","0","0","0","9079","9002","73"
"West Jaintia Hills","2","1","4","0","6822","6684","136"
"West Khasi Hills","3","0","5","0","5515","5438","74"
"Total","246","18","68","0","84574","82853","1475"
