"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35184","0","34845","6","0","333","0"
"2","Ballari","2","97801","1","96005","110","0","1686","0"
"3","Belagavi","3","79999","4","78984","71","0","944","0"
"4","Bengaluru Rural","1","62104","2","61174","39","1","891","0"
"5","Bengaluru Urban","207","1257242","159","1235802","5096","1","16343","1"
"6","Bidar","0","24348","1","23941","1","0","402","4"
"7","Chamarajanagara","3","33090","1","32529","47","0","503","11"
"8","Chikkaballapura","0","43976","0","43538","6","0","431","1"
"9","Chikkamagaluru","11","51229","5","50788","45","0","396","0"
"10","Chitradurga","3","36738","5","36489","40","0","209","0"
"11","Dakshina 
Kannada","22","115946","13","114102","149","1","1688","7"
"12","Davanagere","2","51013","0","50388","17","0","608","0"
"13","Dharwada","26","61370","3","59708","338","0","1322","2"
"14","Gadag","0","26073","1","25750","4","0","319","0"
"15","Hassana","19","112106","5","110747","98","0","1259","2"
"16","Haveri","0","21958","0","21305","10","0","643","0"
"17","Kalaburagi","1","61956","1","61126","8","0","822","0"
"18","Kodagu","19","37288","8","36866","90","0","331","1"
"19","Kolara","5","47028","2","46361","26","0","641","0"
"20","Koppala","0","35207","0","34662","18","0","527","0"
"21","Mandya","2","73863","1","73184","24","0","655","0"
"22","Mysuru","29","179911","41","177185","303","1","2423","0"
"23","Raichuru","0","39981","0","39647","1","0","333","0"
"24","Ramanagara","0","24215","0","23888","4","0","323","0"
"25","Shivamogga","19","69615","5","68371","154","0","1090","0"
"26","Tumakuru","8","121145","7","119858","150","0","1137","0"
"27","Udupi","8","76946","12","76373","85","0","488","0"
"28","Uttara Kannada","7","56449","0","55607","69","0","773","0"
"29","Vijayapura","0","36278","0","35781","2","0","495","0"
"30","Yadagiri","0","27548","0","27341","1","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","397","2997643","277","2952378","7012","4","38224","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 04-12-2021 
 Page 5 of 8","","","","","","","","",""
