"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","92","1058992","0","19563"
"2","Thane","1","118048","0","2287"
"3","TMC","6","189610","0","2163"
"4","Navi Mumbai","13","166817","0","2090"
"5","KDMC","3","176192","0","2973"
"6","Ulhasnagar MC","0","26525","0","679"
"7","Bhivandi Nijampur MC","0","13148","0","496"
"8","Mira Bhayandar MC","1","76638","0","1227"
"9","Palghar","0","64666","0","1244"
"10","Vasai Virar MC","2","98949","0","2163"
"11","Raigad","2","138311","0","3463"
"12","Panvel MC","0","106051","0","1482"
"","Mumbai circle total","120","2233947","0","39830"
"13","Nashik","0","183745","0","3813"
"14","Nashik MC","0","278093","0","4752"
