Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
2022-08-04,HP,Bilaspur,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,19234,96,18743,,2022-08-04 19:55:37.939906,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,302970,4151,293399,,20,1
2022-08-04,HP,Chamba,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,17804,179,17302,,2022-08-04 19:55:37.939906,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,302970,4151,293399,,20,2
2022-08-04,HP,Hamirpur,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,24805,332,23949,,2022-08-04 19:55:37.939906,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,302970,4151,293399,,20,1
2022-08-04,HP,Kangra,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,68309,1254,65831,,2022-08-04 19:55:37.939906,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,302970,4151,293399,,20,7
2022-08-04,HP,Kinnaur,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,4798,41,4659,,2022-08-04 19:55:37.939906,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,302970,4151,293399,,20,1
2022-08-04,HP,Kullu,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,12824,163,12471,,2022-08-04 19:55:37.939906,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,302970,4151,293399,,20,2
2022-08-04,HP,Lahaul and Spiti,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,3400,18,3348,,2022-08-04 19:55:37.939906,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,302970,4151,293399,,20,1
2022-08-04,HP,Mandi,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,41739,507,40266,,2022-08-04 19:55:37.939906,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,302970,4151,293399,,20,7
2022-08-04,HP,Shimla,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,38505,720,36861,,2022-08-04 19:55:37.939906,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,302970,4151,293399,,20,1
2022-08-04,HP,Sirmaur,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,20695,222,20276,,2022-08-04 19:55:37.939906,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,302970,4151,293399,,20,2
2022-08-04,HP,Solan,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,31476,336,30893,,2022-08-04 19:55:37.939906,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,302970,4151,293399,,20,1
2022-08-04,HP,Una,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,19381,282,18800,,2022-08-04 19:55:37.939906,2022-08-04 17:00:00+05:30,https://twitter.com/nhm_hp,,302970,4151,293399,,20,7
