"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","38","9","62115","0","4513","66622","45"
"Bageshwar","0","1","33978","0","2088","36062","0"
"Chamoli","36","37","46717","0","3200","49915","36"
"Champawat","140","20","60123","0","1910","62030","41"
"Dehradun","185","341","360188","5","32963","393016","34"
"Haridwar","45","95","303193","0","13095","316258","17"
"Nainital","83","124","79128","1","11324","90382","14"
"Pauri Garhwal","61","110","91908","2","5268","97169","10"
"Pithoragarh","0","3","39513","0","2559","42060","0"
"Rudraprayag","0","1","26587","0","2702","29289","0"
"Tehri Garhwal","11","160","33712","0","2352","36057","5"
"US Nagar","392","153","131737","1","8788","140501","80"
"Uttarkashi","26","120","36783","0","1641","38422","13"
"Total","1017","1174","1305682","9","92403","1397783","295"
