"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87725","31","85578","2116"
"2","SAS Nagar","69067","42","67951","1074"
"3","Jalandhar","63559","32","62026","1501"
"4","Patiala","49009","14","47633","1362"
"5","Amritsar","47449","7","45843","1599"
"6","Bathinda","41816","14","40755","1047"
"7","Hoshiarpur","31009","30","29983","996"
"8","Gurdaspur","22418","7","21608","803"
"9","Fazilka","20286","4","19752","530"
"10","Pathankot","19011","32","18549","430"
"11","Muktsar","18807","4","18279","524"
"12","Kapurthala","17896","22","17318","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","1","15229","381"
"15","Ferozepur","14479","11","13964","504"
"16","Faridkot","13958","5","13633","320"
"17","Ropar","13007","7","12572","428"
"18","SBS Nagar","11479","7","11084","388"
"19","FG Sahib","8911","5","8569","337"
"20","Moga","8684","0","8450","234"
"21","Tarn Taran","8079","11","7687","381"
"22","Barnala","5958","9","5705","244"
"","Total","603986","298","587058","16630"
