"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","0","35180","0","34844","3","0","333","0",""
"","2","Ballari","0","97789","0","95998","105","0","1686","0",""
"","3","Belagavi","5","79967","1","78966","58","0","943","0",""
"","4","Bengaluru Rural","1","62079","13","61157","32","0","890","0",""
"","5","Bengaluru Urban","171","1255611","147","1234143","5141","0","16326","1",""
"","6","Bidar","0","24344","2","23939","0","0","401","4",""
"","7","Chamarajanagara","2","33047","1","32506","27","0","503","11",""
"","8","Chikkaballapura","1","43973","1","43535","6","0","431","1",""
"","9","Chikkamagaluru","2","51200","1","50757","47","0","396","0",""
"","10","Chitradurga","6","36715","0","36465","42","0","208","0",""
"","11","Dakshina 
Kannada","13","115800","13","113992","115","0","1686","7",""
"","12","Davanagere","1","51002","1","50380","14","0","608","0",""
"","13","Dharwada","42","61079","0","59685","72","0","1320","2",""
"","14","Gadag","0","26068","0","25747","2","0","319","0",""
"","15","Hassana","5","112013","3","110682","72","0","1257","2",""
"","16","Haveri","1","21949","0","21304","2","0","643","0",""
"","17","Kalaburagi","0","61949","1","61121","6","1","822","0",""
"","18","Kodagu","4","37221","9","36823","67","0","330","1",""
"","19","Kolara","2","47008","4","46337","32","1","639","0",""
"","20","Koppala","0","35199","0","34661","11","0","527","0",""
"","21","Mandya","3","73847","2","73161","32","0","654","0",""
"","22","Mysuru","20","179650","0","176969","260","0","2421","0",""
"","23","Raichuru","0","39980","0","39646","2","0","332","0",""
"","24","Ramanagara","1","24214","0","23886","5","0","323","0",""
"","25","Shivamogga","3","69516","1","68337","89","0","1090","0",""
"","26","Tumakuru","8","121044","8","119788","121","0","1135","0",""
"","27","Udupi","13","76867","7","76315","64","0","488","0",""
"","28","Uttara Kannada","1","56388","9","55559","57","0","772","0",""
"","29","Vijayapura","0","36278","0","35777","6","0","495","0",""
"","30","Yadagiri","1","27548","0","27340","2","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","306","2994561","224","2949853","6492","2","38187","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 25-11-2021 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
