"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","0","35184","0","34845","6","0","333","0",""
"","2","Ballari","3","97814","1","96007","121","0","1686","0",""
"","3","Belagavi","1","80011","3","79001","66","0","944","0",""
"","4","Bengaluru Rural","3","62111","3","61181","38","0","892","0",""
"","5","Bengaluru Urban","215","1257875","97","1236229","5294","3","16351","1",""
"","6","Bidar","0","24349","0","23941","2","0","402","4",""
"","7","Chamarajanagara","0","33095","3","32537","44","0","503","11",""
"","8","Chikkaballapura","1","43985","1","43542","11","0","431","1",""
"","9","Chikkamagaluru","4","51339","4","50799","144","0","396","0",""
"","10","Chitradurga","0","36740","0","36491","40","0","209","0",""
"","11","Dakshina 
Kannada","14","115975","18","114144","133","1","1691","7",""
"","12","Davanagere","0","51018","2","50391","19","0","608","0",""
"","13","Dharwada","6","61407","57","59915","167","1","1323","2",""
"","14","Gadag","0","26073","0","25753","1","0","319","0",""
"","15","Hassana","6","112136","4","110764","111","0","1259","2",""
"","16","Haveri","0","21959","0","21314","2","0","643","0",""
"","17","Kalaburagi","1","61959","2","61128","9","0","822","0",""
"","18","Kodagu","12","37322","9","36878","111","0","332","1",""
"","19","Kolara","2","47033","0","46366","26","0","641","0",""
"","20","Koppala","0","35207","0","34665","15","0","527","0",""
"","21","Mandya","2","73871","1","73189","27","0","655","0",""
"","22","Mysuru","11","179948","32","177277","246","1","2425","0",""
"","23","Raichuru","0","39981","0","39647","1","0","333","0",""
"","24","Ramanagara","0","24215","0","23889","3","0","323","0",""
"","25","Shivamogga","4","69630","4","68386","154","0","1090","0",""
"","26","Tumakuru","4","121165","8","119877","149","0","1139","0",""
"","27","Udupi","3","76956","10","76391","76","0","489","0",""
"","28","Uttara Kannada","5","56477","1","55624","80","0","773","0",""
"","29","Vijayapura","2","36280","0","35781","4","0","495","0",""
"","30","Yadagiri","0","27548","0","27342","0","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","299","2998699","260","2953327","7100","6","38243","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 07-12-2021 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
