"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
10-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","9","181501","180522[6]","99.46","922","57","3636","10748","3646701"
"2","Faridabad","0","99911","99187[2]","99.28","716","8","2635","5509","2549071"
"3","Hisar","0","53996","52859","97.89","1136","1","1275","4841","1354258"
"4","Sonepat","0","47139","46884","99.46","254","1","1926","4256","1433691"
"5","Karnal","0","40038","39485[1]","98.62","552","1","916","4531","1481195"
"6","Panipat","1","31152","30512","97.95","638","2","1082","2300","1127938"
"7","Panchkula","3","30780","30394[2]","98.75","379","7","499","2008","749174"
"8","Ambala","0","30150","29641","98.31","509","0","616","6016","1474072"
"9","Sirsa","0","29282","28774","98.27","508","0","1471","2979","1084170"
"10","Rohtak","0","25911","25352","97.84","534","8","1574","3568","1012788"
"11","Yamunanagar","0","24635","24217","98.30","414","4","1075","2901","1190243"
"12","Bhiwani","0","22409","21757","97.09","652","0","1132","4630","1101609"
"13","Kurukshetra","0","22149","21791","98.38","357","1","538","1958","870731"
"14","Mahindergarh","0","21689","21534","99.29","155","0","998","2844","861768"
"15","Jind","0","21209","20676","97.49","533","0","1895","3287","989854"
"16","Rewari","0","20328","20106","98.91","221","1","1428","3048","962428"
"17","Jhajjar","0","18849","18515","98.23","328","0","1174","6144","1011753"
"18","Fatehabad","0","17876","17394","97.30","481","1","599","1588","789057"
"19","Kaithal","0","11246","10898","96.91","346","2","493","2137","849154"
"20","Palwal","0","11026","10872","98.60","153","1","1459","7089","859199"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","158","1132","639753"
"22","Nuh","0","5014","4891","97.55","123","0","1646","636","447733"
"Total","","13","771368","761200[11]","98.68","10050","95","28225","84150","26486340"
