"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","81","127","801"
"Kollam","48","25","132"
"Pathanamthitta","61","25","195"
"Alappuzha","23","5","75"
"Kottayam","71","168","759"
"Idukki","41","69","508"
"Ernakulam","155","198","1294"
"Thrissur","47","121","340"
"Palakkad","19","5","36"
"Malappuram","34","21","257"
"Kozhikode","67","67","434"
"Wayanad","13","40","167"
"Kannur","35","32","58"
"Kasaragod","7","0","35"
"Total","702","903","5091"
