"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
17-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","13","181586","180577[6]","99.44","923","86","2869","8055","3724893"
"2","Faridabad","1","99918","99195[1]","99.28","716","7","2830","6297","2612703"
"3","Hisar","0","53996","52860[1]","97.90","1136","0","877","3439","1375812"
"4","Sonepat","0","47139","46885","99.46","254","0","921","2949","1468223"
"5","Karnal","0","40040","39486","98.62","552","2","840","2684","1516205"
"6","Panipat","0","31153","30512","97.94","638","3","1323","3168","1171396"
"7","Panchkula","0","30788","30398[1]","98.73","379","11","550","2147","771670"
"8","Ambala","0","30150","29641","98.31","509","0","768","3874","1509055"
"9","Sirsa","1","29283","28774","98.26","508","1","1779","5467","1125245"
"10","Rohtak","2","25915","25359[7]","97.85","534","5","907","2717","1037789"
"11","Yamunanagar","1","24636","24221[1]","98.32","414","1","434","1880","1209448"
"12","Bhiwani","0","22409","21757","97.09","652","0","630","3662","1136286"
"13","Kurukshetra","0","22151","21791","98.37","357","3","561","2197","892242"
"14","Mahindergarh","0","21689","21534","99.29","155","0","1082","3508","887755"
"15","Jind","0","21209","20676","97.49","533","0","1102","1991","1012959"
"16","Rewari","0","20329","20107","98.91","221","1","1129","2744","986420"
"17","Jhajjar","0","18849","18515","98.23","328","0","678","3111","1041089"
"18","Fatehabad","0","17877","17394","97.30","481","2","506","1810","803198"
"19","Kaithal","0","11246","10898","96.91","346","2","858","3949","881636"
"20","Palwal","0","11026","10873","98.61","153","0","934","2379","883067"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","121","1245","646782"
"22","Nuh","0","5014","4891","97.55","123","0","9368","1984","493184"
"Total","","18","771481","761283[17]","98.68","10051","124","31067","71257","27187057"
