"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","2479","1100940","1","19589"
"2","Thane","93","119033","0","2289"
"3","TMC","388","195005","0","2164"
"4","Navi Mumbai","414","172307","0","2090"
"5","KDMC","144","177538","0","2974"
"6","Ulhasnagar MC","15","26700","0","680"
"7","Bhivandi Nijampur MC","2","13204","0","496"
"8","Mira Bhayandar MC","106","77986","0","1227"
"9","Palghar","50","64924","0","1244"
"10","Vasai Virar MC","103","100489","0","2164"
"11","Raigad","225","139820","0","3466"
"12","Panvel MC","147","107984","0","1482"
"","Mumbai circle total","4166","2295930","1","39865"
"13","Nashik","6","183882","0","3814"
"14","Nashik MC","24","278433","0","4752"
