,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,0,2021-11-15,TN,802,12,918,101070,94756,150538,7285,5711.0,70.0,6525.0,713808.0,797968.0,1780335.0,Ariyalur,2,0,2,,1341,3722,37,21.0,1.0,27.0,,11248.0,23542.0,752481,,,,16899,262,16602,,492489,191028,2021-11-15T23:56:19.977263+05:30,75695000,,,,2715632,36296,2669848,52747257,42289200,19940787,0,0,0,0,0
1,1,1,1,1,1,2021-11-15,TN,802,12,918,101070,94756,150538,7285,5711.0,70.0,6525.0,713808.0,797968.0,1780335.0,Chengalpattu,63,0,74,,1114,2597,619,452.0,7.0,507.0,,14986.0,38777.0,2556244,,,,172890,2521,169569,,1357966,655485,2021-11-15T23:56:19.977263+05:30,75695000,,,,2715632,36296,2669848,52747257,42289200,19940787,0,0,0,0,0
2,2,2,2,2,2,2021-11-15,TN,802,12,918,101070,94756,150538,7285,5711.0,70.0,6525.0,713808.0,797968.0,1780335.0,Chennai,112,4,98,,4009,13467,840,862.0,15.0,814.0,,25596.0,94662.0,7100000,,,,556408,8578,546575,,4955605,2986707,2021-11-15T23:56:19.977263+05:30,75695000,,,,2715632,36296,2669848,52747257,42289200,19940787,0,0,0,0,0
3,3,3,3,3,3,2021-11-15,TN,802,12,918,101070,94756,150538,7285,5711.0,70.0,6525.0,713808.0,797968.0,1780335.0,Coimbatore,124,2,116,,873,5641,854,804.0,8.0,767.0,,14799.0,87989.0,3472578,,,,248426,2439,244812,,2737330,1317571,2021-11-15T23:56:19.977263+05:30,75695000,,,,2715632,36296,2669848,52747257,42289200,19940787,0,0,0,0,0
4,4,4,4,4,4,2021-11-15,TN,802,12,918,101070,94756,150538,7285,5711.0,70.0,6525.0,713808.0,797968.0,1780335.0,Cuddalore,11,0,17,,10517,12480,125,89.0,0.0,116.0,,97864.0,108451.0,2600880,,,,64294,870,63276,,1650293,809508,2021-11-15T23:56:19.977263+05:30,75695000,,,,2715632,36296,2669848,52747257,42289200,19940787,0,0,0,0,0
5,5,5,5,5,5,2021-11-15,TN,802,12,918,101070,94756,150538,7285,5711.0,70.0,6525.0,713808.0,797968.0,1780335.0,Dharmapuri,17,0,14,,1644,5255,107,101.0,2.0,98.0,,9394.0,31227.0,1502900,,,,28652,278,28204,,783138,318408,2021-11-15T23:56:19.977263+05:30,75695000,,,,2715632,36296,2669848,52747257,42289200,19940787,0,0,0,0,0
6,6,6,6,6,6,2021-11-15,TN,802,12,918,101070,94756,150538,7285,5711.0,70.0,6525.0,713808.0,797968.0,1780335.0,Dindigul,6,0,5,,585,1329,53,26.0,2.0,37.0,,22274.0,72413.0,2161367,,,,33160,649,32459,,1262177,578544,2021-11-15T23:56:19.977263+05:30,75695000,,,,2715632,36296,2669848,52747257,42289200,19940787,0,0,0,0,0
7,7,7,7,7,7,2021-11-15,TN,802,12,918,101070,94756,150538,7285,5711.0,70.0,6525.0,713808.0,797968.0,1780335.0,Erode,72,0,68,,555,3309,481,448.0,1.0,415.0,,12385.0,63705.0,2259608,,,,105274,692,103794,,1387145,631255,2021-11-15T23:56:19.977263+05:30,75695000,,,,2715632,36296,2669848,52747257,42289200,19940787,0,0,0,0,0
8,8,8,8,8,8,2021-11-15,TN,802,12,918,101070,94756,150538,7285,5711.0,70.0,6525.0,713808.0,797968.0,1780335.0,Kallakurichi,9,0,15,,5074,10343,69,67.0,0.0,69.0,,25020.0,57303.0,1370281,,,,31502,210,31187,,727606,371656,2021-11-15T23:56:19.977263+05:30,75695000,,,,2715632,36296,2669848,52747257,42289200,19940787,0,0,0,0,0
9,9,9,9,9,9,2021-11-15,TN,802,12,918,101070,94756,150538,7285,5711.0,70.0,6525.0,713808.0,797968.0,1780335.0,Kancheepuram,19,0,23,,1507,2232,218,131.0,2.0,158.0,,10904.0,17997.0,1166401,,,,75320,1261,73775,,680163,278163,2021-11-15T23:56:19.977263+05:30,75695000,,,,2715632,36296,2669848,52747257,42289200,19940787,0,0,0,0,0
