,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,7674,7534,129,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,520993,295337,225656,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,5,158,163,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2070095,2052718,14416,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,56300341,33779411,22520930,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,1548,4615,6163,117,241,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,55222,54897,280,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,1356579,780548,576031,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,80,182,262,2,1,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,614166,604960,6052,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,30427736,20528586,9899150,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,1514,2754,4268,253,252,3,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,Bihar,726157,716472,9662,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,72077090,51349853,20727237,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,11158,16303,27461,1,4,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,65389,64539,820,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,1517825,932160,585665,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,5,74,79,5,2,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1006386,992543,13588,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,23471475,15295911,8175564,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,4525,5463,9988,28,10,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10682,10678,4,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,1067791,666328,401463,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,13,32,45,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1440440,1415008,25095,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,21371395,13364738,8006657,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,54,204,258,16,27,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,Goa,178510,174885,3375,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,2251542,1272761,978781,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,5,32,37,25,15,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
10,Gujarat,826979,816654,10090,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,74844033,45126084,29717949,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,1029,10818,11847,29,24,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Gujarat,67936000
11,Haryana,771448,761250,10051,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,26969901,18057370,8912531,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,1254,3113,4367,14,15,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,225893,220959,3821,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,9936842,5750874,4185968,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,14,1011,1025,125,99,6,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,334288,328318,4453,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,15896189,9556221,6339968,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,158,4369,4527,108,103,3,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,349027,343747,5139,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,22166676,15676421,6490255,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,7389,6589,13978,21,14,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Jharkhand,37403000
15,Karnataka,2992021,2945934,38146,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,68363652,43252157,25111495,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,2671,6625,9296,171,255,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Karnataka,65798000
16,Kerala,5065619,4964375,35877,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,41050581,25514768,15535813,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,127,1599,1726,4547,6866,127,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Kerala,35125000
17,Ladakh,21205,20794,211,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,370621,210111,160510,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,5,169,174,29,2,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Ladakh,293000
18,Lakshadweep,10365,10314,51,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,103031,55270,47761,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,0,26,26,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Lakshadweep,68000
19,Maharashtra,6624986,6468791,140602,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,103418897,69499737,33919160,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,8295,8209,16504,686,912,19,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Maharashtra,122153000
20,Manipur,124517,121764,1953,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,2068798,1263296,805502,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,2,33,35,35,26,4,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Manipur,3103000
21,Meghalaya,84046,82327,1464,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,1864635,1130817,733818,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,94,207,301,22,28,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Meghalaya,3224000
22,Mizoram,129386,123738,463,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,1253153,719157,533996,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,110,3,113,611,849,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Mizoram,1192000
23,Madhya Pradesh,792977,782371,10524,2021-11-15,TT,34456401,463852,33861756,2021-11-16 06:07:00.697733,625774159,2021-11-15 00:00:00,1107617,1130251545,755088756,375162789,75941641,50301710,25639931,https://www.icmr.gov.in/,8865,197,11971,139019,80616,219635,911,9973,10884,8,5,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.142857143,16386.14285714286,0,0,0,,,1332900000,Madhya Pradesh,82232000
