"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4530","4138","0","4","388"
"Bageshwar","2089","2001","1","0","87"
"Chamoli","3203","3091","3","3","106"
"Champawat","1912","1890","1","1","20"
"Dehradun","33178","32598","39","174","367"
"Haridwar","13136","12872","5","25","234"
"Nainital","11362","11282","6","29","45"
"Pauri Garhwal","5278","4290","2","18","968"
"Pithoragarh","2559","2420","0","4","135"
"Rudraprayag","2704","2575","0","2","127"
"Tehri Garhwal","2368","2026","2","5","335"
"U.S. Nagar","8805","8519","1","5","280"
"Uttarkashi","1656","1476","4","5","171"
"Total","92780","89178","64","275","3263"
