"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","111","257","1324"
"Kollam","84","95","92"
"Pathanamthitta","43","68","358"
"Alappuzha","32","42","154"
"Kottayam","83","209","1190"
"Idukki","69","207","808"
"Ernakulam","141","313","1805"
"Thrissur","55","141","712"
"Palakkad","33","34","54"
"Malappuram","29","44","335"
"Kozhikode","56","17","547"
"Wayanad","28","63","352"
"Kannur","37","82","227"
"Kasaragod","8","25","22"
"Total","809","1597","7980"
