"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","104414","7368","94869","2177"
"2","SAS Nagar","87653","8114","78434","1105"
"3","Jalandhar","74164","4610","68025","1529"
"4","Patiala","60806","2472","56917","1417"
"5","Amritsar","56111","3665","50815","1631"
"6","Bathinda","48115","2946","44107","1062"
"7","Hoshiarpur","37294","3415","32861","1018"
"8","Gurdaspur","25743","1352","23568","823"
"9","Pathankot","23174","1045","21679","450"
"10","Fazilka","21728","1173","20021","534"
"11","Kapurthala","20543","1075","18912","556"
"12","Muktsar","20433","1155","18751","527"
"13","Sangrur","17539","596","16054","889"
"14","Mansa","16779","828","15567","384"
"15","Ropar","16421","1491","14501","429"
"16","Ferozepur","16415","880","15021","514"
"17","Faridkot","15500","830","14345","325"
"18","SBS Nagar","12931","691","11848","392"
"19","FG Sahib","11190","531","10314","345"
"20","Tarn Taran","9818","1250","8184","384"
"21","Moga","9748","592","8919","237"
"22","Barnala","6926","393","6283","250"
"","Total","713445","46472","649995","16978"
