"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
25-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","59","182160","181015[14]","99.37","926","219","2582","6849","4178155"
"2","Faridabad","7","100062","99299[4]","99.24","717","46","4183","12132","3018063"
"3","Hisar","0","54005","52865","97.89","1137","3","6086","15750","1682490"
"4","Sonepat","2","47148","46891","99.45","254","3","2565","6890","1703621"
"5","Karnal","4","40076","39498","98.56","554","24","3396","4673","1772379"
"6","Panipat","3","31165","30518","97.92","638","9","3747","9119","1469533"
"7","Panchkula","9","30938","30505[4]","98.60","381","52","689","2013","858411"
"8","Ambala","2","30170","29646","98.26","509","15","1053","4715","1765073"
"9","Sirsa","1","29306","28789","98.24","509","8","8694","18298","1449682"
"10","Rohtak","0","25923","25371","97.87","534","1","3537","5889","1228014"
"11","Yamunanagar","1","24666","24244[2]","98.29","414","8","589","2177","1393057"
"12","Bhiwani","0","22413","21758","97.08","652","3","2613","11588","1402948"
"13","Kurukshetra","2","22172","21804[1]","98.34","357","11","2197","6005","1075440"
"14","Mahindergarh","0","21689","21534","99.29","155","0","2382","8623","1044789"
"15","Jind","0","21210","20677","97.49","533","0","4331","7585","1262765"
"16","Rewari","0","20330","20109[1]","98.91","221","0","2891","10902","1216571"
"17","Jhajjar","0","18853","18516","98.21","328","3","2259","6011","1205374"
"18","Fatehabad","0","17880","17398","97.30","482","0","1527","5597","921941"
"19","Kaithal","0","11251","10904","96.92","346","1","4645","4585","1255466"
"20","Palwal","0","11031","10877","98.60","153","1","1822","4452","1111596"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","630","1240","704296"
"22","Nuh","0","5014","4891","97.55","123","0","1340","3505","819586"
"Haryana","","90","772541","762049[26]","98.64","10062","407","63758","158598","32539250"
