"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","0","3","0","2038","16","8","0"
"East Jaintia Hills","1","1","0","2602","37","5","0"
"East Khasi Hills","4","6","1","47022","1072","37","20"
"Eastern West Khasi Hills","0","1","0","139","8","0","0"
"North Garo Hills","1","3","0","1876","9","20","0"
"Ri-Bhoi","1","5","0","10283","96","25","1"
"South Garo Hills","0","2","0","1336","12","2","1"
"South West Garo Hills","0","0","0","2086","20","6","0"
"South West Khasi Hills","0","3","0","2689","19","6","0"
"West Garo Hills","2","3","0","10689","79","11","0"
"West Jaintia Hills","2","1","0","7160","139","14","2"
"West Khasi Hills","0","2","0","5637","75","10","0"
"Total","11","30","1","93557","1582","144","24"
