"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109655","77","107305","2273"
"2","SAS Nagar","95537","175","94218","1144"
"3","Jalandhar","78148","78","76494","1576"
"4","Patiala","61964","31","60476","1457"
"5","Amritsar","59342","35","57626","1681"
"6","Bathinda","50789","48","49653","1088"
"7","Hoshiarpur","40737","75","39570","1092"
"8","Gurdaspur","26905","34","26009","862"
"9","Pathankot","24458","71","23896","491"
"10","Fazilka","23316","30","22742","544"
"11","Muktsar","22521","14","21969","538"
"12","Kapurthala","21989","31","21379","579"
"13","Ropar","17915","17","17443","455"
"14","Ferozepur","17860","21","17308","531"
"15","Mansa","17224","3","16829","392"
"16","Faridkot","16705","22","16345","338"
"17","Sangrur","14304","3","13566","735"
"18","SBS Nagar","13382","8","12969","405"
"19","FG Sahib","11819","8","11457","354"
"20","Moga","10973","4","10715","254"
"21","Tarn Taran","10874","32","10448","394"
"22","Barnala","7477","29","7106","342"
"23","Malerkotla","3965","2","3787","176"
"","Total","757859","848","739310","17701"
