"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","67","40438","190","39333","750","1","355","0"
"2","Ballari","173","114451","492","110739","1974","4","1736","2"
"3","Belagavi","327","98633","1008","91191","6453","0","989","0"
"4","Bengaluru Rural","69","79060","385","77373","782","0","905","0"
"5","Bengaluru Urban","2161","1764476","6883","1723340","24411","16","16724","1"
"6","Bidar","28","29646","102","28969","260","0","413","4"
"7","Chamarajanagara","111","43153","226","41576","1048","0","518","11"
"8","Chikkaballapura","70","55299","234","54149","694","1","455","1"
"9","Chikkamagaluru","53","56927","87","55973","551","0","403","0"
"10","Chitradurga","136","45570","352","43768","1572","3","230","0"
"11","Dakshina 
Kannada","103","134661","267","131513","1338","5","1801","9"
"12","Davanagere","28","57328","164","56185","526","0","617","0"
"13","Dharwada","132","83365","346","80502","1516","2","1345","2"
"14","Gadag","31","30393","147","29756","303","1","334","0"
"15","Hassana","139","143236","588","140438","1499","0","1297","2"
"16","Haveri","55","26572","216","25509","402","1","661","0"
"17","Kalaburagi","111","76120","519","73903","1346","0","871","0"
"18","Kodagu","119","48397","313","46860","1192","0","344","1"
"19","Kolara","50","62693","345","61547","486","2","660","0"
"20","Koppala","25","41115","168","39910","670","0","535","0"
"21","Mandya","158","100978","431","99217","1066","2","695","0"
"22","Mysuru","293","227751","820","222680","2531","2","2540","0"
"23","Raichuru","75","45234","132","44259","621","0","354","0"
"24","Ramanagara","32","29561","38","28986","229","1","346","0"
"25","Shivamogga","185","82319","803","79168","2028","2","1122","1"
"26","Tumakuru","342","158565","645","154122","3249","3","1194","0"
"27","Udupi","97","94927","423","92930","1467","0","530","0"
"28","Uttara Kannada","60","70680","269","68993","883","2","804","0"
"29","Vijayapura","103","40668","87","39345","818","0","505","0"
"30","Yadagiri","6","29848","69","29348","291","0","209","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","5339","3912100","16749","3811615","60956","48","39495","34"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
 
Date: 09-02-2022 
 Page 5 of 39","","","","","","","","",""
