,Unnamed: 0,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
0,0,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Amritsar,0.0,0.0,0.0,,1642,1775,0,,,,,1264715,448262,2490891,,,,47379,1598,45757,,1264715,448262,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,1712977.0,3417
1,1,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Barnala,0.0,0.0,0.0,,866,531,0,,,,,329330,104728,596294,,,,5950,244,5696,,329330,104728,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,434058.0,1397
2,2,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Bathinda,0.0,0.0,0.0,,1253,971,0,,,,,624857,203282,1388859,,,,41728,1042,40668,,624857,203282,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,828139.0,2224
3,3,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Faridkot,0.0,0.0,0.0,,141,313,0,,,,,330795,128966,618008,,,,13927,315,13602,,330795,128966,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,459761.0,454
4,4,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Fatehgarh Sahib,0.0,0.0,0.0,,652,1391,0,,,,,355573,136638,599814,,,,8876,335,8538,,355573,136638,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,492211.0,2043
5,5,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Fazilka,0.0,0.0,0.0,,204,231,0,,,,,490284,131750,1180483,,,,20271,528,19729,,490284,131750,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,622034.0,435
6,6,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Ferozepur,0.0,0.0,0.0,,722,857,0,,,,,477065,128900,2026831,,,,14347,504,13832,,477065,128900,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,605965.0,1579
7,7,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Gurdaspur,0.0,0.0,0.0,,1746,3831,0,22380.42857142857,800.5714285714287,21575.714285714286,,863879,419182,2299026,,,,22381,801,21576,,863879,419182,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,1283061.0,5577
8,8,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Hoshiarpur,0.0,0.0,0.0,,323,1192,0,,,,,1000959,575908,1582793,,,,30822,986,29828,,1000959,575908,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,1576867.0,1515
9,9,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Jalandhar,0.0,0.0,0.0,,1553,3243,0,,,,,1435106,684613,2181753,,,,63396,1496,61864,,1435106,684613,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,2119719.0,4796
10,10,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Kapurthala,0.0,0.0,0.0,,453,739,0,,,,,465738,188215,817668,,,,17852,556,17294,,465738,188215,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,653953.0,1192
11,11,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Ludhiana,0.0,0.0,0.0,,2705,3118,0,,,,,2476351,946519,3487882,,,,87608,2106,85484,,2476351,946519,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,3422870.0,5823
12,12,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Mansa,0.0,0.0,0.0,,701,685,0,,,,,373067,90515,768808,,,,15606,380,15226,,373067,90515,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,463582.0,1386
13,13,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Moga,0.0,0.0,0.0,,529,831,0,,,,,542085,179739,992289,,,,8675,233,8440,,542085,179739,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,721824.0,1360
14,14,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Pathankot,0.0,0.0,0.0,,256,1007,0,,,,,425145,197829,626154,,,,18814,419,18373,,425145,197829,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,622974.0,1263
15,15,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Patiala,0.0,0.0,0.0,,881,1418,0,,,,,1052348,397891,2892282,,,,48927,1358,47561,,1052348,397891,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,1450239.0,2299
16,16,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,Rupnagar,0.0,0.0,0.0,,257,733,0,12955.285714285714,423.0,12513.571428571433,,384894,183652,683349,,,,12963,423,12517,,384894,183652,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,568546.0,990
17,17,2021-11-31,PB,0.0,0.0,0.0,0,17949,27459,0,602340.8571428572,16557.0,585537.0,,15960472.0,6266248.0,S.A.S. Nagar,0.0,0.0,0.0,,479,1005,0,,,,,872575,403217,986147,,,,68821,1068,67726,,872575,403217,2021-11-03 09:46:07.874821,29859000,,,,602401,16559,585591,,15960472,6266248,22226720.0,45408.0,22226720.0,1275792.0,1484
