,Unnamed: 0,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
0,0,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Agra,,,,,5257,7122,0,,,,,2178164,753508,4380793,,,,,,,,2178164,753508,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2931672.0,12379
1,1,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Aligarh,,,,,3701,5686,0,,,,,1593199,504272,3673849,,,,,,,,1593199,504272,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2097471.0,9387
2,2,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Ambedkar Nagar,,,,,3625,5259,0,,,,,1138893,355184,2398709,,,,,,,,1138893,355184,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1494077.0,8884
3,3,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Amethi,,,,,2214,5834,0,,,,,1017668,381095,2549935,,,,,,,,1017668,381095,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1398763.0,8048
4,4,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Amroha,,,,,2303,4123,0,,,,,873467,269730,1838771,,,,,,,,873467,269730,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1143197.0,6426
5,5,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Auraiya,,,,,1410,2809,0,,,,,616121,183584,1372287,,,,,,,,616121,183584,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,799705.0,4219
6,6,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Ayodhya,,,,,3924,7005,0,,,,,1274813,425187,2468371,,,,,,,,1274813,425187,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1700000.0,10929
7,7,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Azamgarh,,,,,6392,12649,0,,,,,2171801,656473,4616509,,,,,,,,2171801,656473,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2828274.0,19041
8,8,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Baghpat,,,,,1267,4150,0,,,,,693522,341321,1302156,,,,,,,,693522,341321,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1034843.0,5417
9,9,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Bahraich,,,,,6081,17818,0,,,,,1758277,660372,2384239,,,,,,,,1758277,660372,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2418649.0,23899
10,10,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Ballia,,,,,3320,6722,0,,,,,1436775,395063,3223642,,,,,,,,1436775,395063,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1831838.0,10042
11,11,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Balrampur,,,,,8255,4825,0,,,,,1003339,443717,2149066,,,,,,,,1003339,443717,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1447056.0,13080
12,12,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Banda,,,,,4285,4977,0,,,,,800188,241817,1799541,,,,,,,,800188,241817,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1042005.0,9262
13,13,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Barabanki,,,,,7681,9411,0,,,,,1597385,457703,3257983,,,,,,,,1597385,457703,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2055088.0,17092
14,14,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Bareilly,,,,,8085,9143,0,,,,,2229915,758894,4465344,,,,,,,,2229915,758894,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2988809.0,17228
15,15,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Basti,,,,,4299,6119,0,,,,,1193534,405570,2461056,,,,,,,,1193534,405570,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1599104.0,10418
16,16,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Bhadohi,,,,,2299,3260,0,,,,,795393,247691,1554203,,,,,,,,795393,247691,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1043084.0,5559
17,17,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Bijnor,,,,,4716,7761,0,,,,,1761398,608243,3683896,,,,,,,,1761398,608243,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2369641.0,12477
18,18,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Budaun,,,,,6852,5214,0,,,,,1415525,369574,3712738,,,,,,,,1415525,369574,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1785099.0,12066
19,19,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Bulandshahr,,,,,3762,8523,0,,,,,1651747,654759,3498507,,,,,,,,1651747,654759,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2306506.0,12285
20,20,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Chandauli,,,,,2883,4468,0,,,,,942482,243114,1952713,,,,,,,,942482,243114,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1185596.0,7351
21,21,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Chitrakoot,,,,,1930,2656,0,,,,,449233,131813,990626,,,,,,,,449233,131813,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,581046.0,4586
22,22,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Deoria,,,,,3937,8590,0,,,,,1600971,545883,3098637,,,,,,,,1600971,545883,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2146854.0,12527
23,23,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Etah,,,,,4741,5669,0,,,,,793416,219040,1761152,,,,,,,,793416,219040,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1012456.0,10410
24,24,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Etawah,,,,,6805,4488,0,,,,,715063,258149,1579160,,,,,,,,715063,258149,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,973212.0,11293
25,25,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Farrukhabad,,,,,2641,5216,0,,,,,836465,234961,1887577,,,,,,,,836465,234961,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1071426.0,7857
26,26,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Fatehpur,,,,,2441,7393,0,,,,,1248755,417513,2632684,,,,,,,,1248755,417513,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1666268.0,9834
27,27,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Firozabad,,,,,8921,7336,0,,,,,1014145,335687,2496761,,,,,,,,1014145,335687,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1349832.0,16257
28,28,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Gautam Buddha Nagar,,,,,2437,5787,0,,,,,1802165,980140,1674714,,,,,,,,1802165,980140,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2782305.0,8224
29,29,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Ghaziabad,,,,,5505,8919,0,,,,,2252544,1080827,4661452,,,,,,,,2252544,1080827,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,3333371.0,14424
30,30,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Ghazipur,,,,,4036,7797,0,,,,,1694231,517683,3622727,,,,,,,,1694231,517683,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2211914.0,11833
31,31,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Gonda,,,,,4063,12525,0,,,,,1608445,568298,3431386,,,,,,,,1608445,568298,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2176743.0,16588
32,32,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Gorakhpur,,,,,4153,11223,0,,,,,2351204,900308,4436275,,,,,,,,2351204,900308,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,3251512.0,15376
33,33,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Hamirpur,,,,,1841,3220,0,,,,,563297,189169,1104021,,,,,,,,563297,189169,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,752466.0,5061
34,34,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Hapur,,,,,2238,3023,0,,,,,661101,257542,1338211,,,,,,,,661101,257542,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,918643.0,5261
35,35,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Hardoi,,,,,4693,11783,0,,,,,1857183,549430,4091380,,,,,,,,1857183,549430,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2406613.0,16476
36,36,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Hathras,,,,,1669,2349,0,,,,,702859,236830,1565678,,,,,,,,702859,236830,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,939689.0,4018
37,37,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Jalaun,,,,,1229,2086,0,,,,,820880,253492,1670718,,,,,,,,820880,253492,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1074372.0,3315
38,38,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Jaunpur,,,,,5540,10261,0,,,,,2195162,677274,4476072,,,,,,,,2195162,677274,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2872436.0,15801
39,39,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Jhansi,,,,,710,1740,0,,,,,1133221,381558,2000755,,,,,,,,1133221,381558,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1514779.0,2450
40,40,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Kannauj,,,,,3119,5705,0,,,,,758238,262753,1658005,,,,,,,,758238,262753,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1020991.0,8824
41,41,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Kanpur Dehat,,,,,3455,4003,0,,,,,927116,294901,1795092,,,,,,,,927116,294901,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1222017.0,7458
42,42,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Kanpur Nagar,,,,,6486,6389,0,,,,,2258044,865669,4572951,,,,,,,,2258044,865669,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,3123713.0,12875
43,43,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Kasganj,,,,,2635,4030,0,,,,,611453,151978,1438156,,,,,,,,611453,151978,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,763431.0,6665
44,44,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Kaushambi,,,,,7649,4883,0,,,,,768609,223658,1596909,,,,,,,,768609,223658,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,992267.0,12532
45,45,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Kushinagar,,,,,2620,9214,0,,,,,1635402,467268,3560830,,,,,,,,1635402,467268,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2102670.0,11834
46,46,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Lakhimpur Kheri,,,,,8166,11001,0,,,,,1837185,393179,4013634,,,,,,,,1837185,393179,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2230364.0,19167
47,47,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Lalitpur,,,,,897,1509,0,,,,,628450,145028,1218002,,,,,,,,628450,145028,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,773478.0,2406
48,48,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Lucknow,,,,,7949,11275,0,,,,,3114607,1499608,4588455,,,,,,,,3114607,1499608,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,4614215.0,19224
49,49,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Maharajganj,,,,,3427,5222,0,,,,,1286961,377781,2665292,,,,,,,,1286961,377781,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1664742.0,8649
50,50,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Mahoba,,,,,736,1574,0,,,,,445088,149962,876055,,,,,,,,445088,149962,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,595050.0,2310
51,51,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Mainpuri,,,,,3623,4139,0,,,,,864084,224129,1847194,,,,,,,,864084,224129,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1088213.0,7762
52,52,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Mathura,,,,,3555,5188,0,,,,,1211133,423305,2541894,,,,,,,,1211133,423305,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1634438.0,8743
53,53,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Mau,,,,,4808,5392,0,,,,,1022305,312444,2205170,,,,,,,,1022305,312444,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1334749.0,10200
54,54,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Meerut,,,,,4949,9373,0,,,,,1769693,851821,3447405,,,,,,,,1769693,851821,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,2621514.0,14322
55,55,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Mirzapur,,,,,4324,5771,0,,,,,1339632,467928,2494533,,,,,,,,1339632,467928,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1807560.0,10095
56,56,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Moradabad,,,,,7223,4283,0,,,,,1397472,447494,4773138,,,,,,,,1397472,447494,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1844966.0,11506
57,57,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Muzaffarnagar,,,,,2371,5899,0,,,,,1266376,473286,4138605,,,,,,,,1266376,473286,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1739662.0,8270
58,58,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Pilibhit,,,,,3708,6658,0,,,,,982040,263589,2037225,,,,,,,,982040,263589,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1245629.0,10366
59,59,2021-11-31,UP,6,0,6,0,361818,491346,0,1710133.7142857143,22899.714285714286,1687132.0,,98537599.0,33169895.0,Pratapgarh,,,,,4175,6512,0,,,,,1484196,463381,3173752,,,,,,,,1484196,463381,2021-11-03 09:46:07.874821,224979000,,,,1710158,22900,1687151,,98537599,33169895,131707494.0,853164.0,131707494.0,1947577.0,10687
