,Unnamed: 0,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
0,0,2021-11-31,HR,11.0,0.0,10,0,8476,15797,0,771215.1428571428,10049.0,761034.0,,17772039.0,8114801.0,Gurugram,7,0,8,,264,1637,0,,,,,2193114,1377160,1514085,,,,181428.0,922.0,180454,,2193114,1377160,2021-11-03T15:09:20.777909+05:30,28672000,,,,771252.0,10049.0,761068,,17772039,8114801,25886840.0,24273.0,25886840.0,3570274.0,1901
1,1,2021-11-31,HR,11.0,0.0,10,0,8476,15797,0,771215.1428571428,10049.0,761034.0,,17772039.0,8114801.0,Faridabad,1,0,0,,818,1577,0,,,,,1658940,840997,1798954,,,,99902.0,716.0,99157,,1658940,840997,2021-11-03T15:09:20.777909+05:30,28672000,,,,771252.0,10049.0,761068,,17772039,8114801,25886840.0,24273.0,25886840.0,2499937.0,2395
2,2,2021-11-31,HR,11.0,0.0,10,0,8476,15797,0,771215.1428571428,10049.0,761034.0,,17772039.0,8114801.0,Hisar,0,0,0,,58,111,0,,,,,994213,332162,1742815,,,,53995.0,1136.0,52857,,994213,332162,2021-11-03T15:09:20.777909+05:30,28672000,,,,771252.0,10049.0,761068,,17772039,8114801,25886840.0,24273.0,25886840.0,1326375.0,169
3,3,2021-11-31,HR,11.0,0.0,10,0,8476,15797,0,771215.1428571428,10049.0,761034.0,,17772039.0,8114801.0,Sonipat,0,0,0,,785,2190,0,,,,,989125,411915,1480080,,,,47138.0,254.0,46884,,989125,411915,2021-11-03T15:09:20.777909+05:30,28672000,,,,771252.0,10049.0,761068,,17772039,8114801,25886840.0,24273.0,25886840.0,1401040.0,2975
4,4,2021-11-31,HR,11.0,0.0,10,0,8476,15797,0,771215.1428571428,10049.0,761034.0,,17772039.0,8114801.0,Karnal,1,0,0,,617,217,0,,,,,1000120,451876,1506323,,,,40037.0,552.0,39484,,1000120,451876,2021-11-03T15:09:20.777909+05:30,28672000,,,,771252.0,10049.0,761068,,17772039,8114801,25886840.0,24273.0,25886840.0,1451996.0,834
5,5,2021-11-31,HR,11.0,0.0,10,0,8476,15797,0,771215.1428571428,10049.0,761034.0,,17772039.0,8114801.0,Panipat,1,0,0,,375,1054,0,,,,,830805,273172,1202811,,,,31150.0,638.0,30510,,830805,273172,2021-11-03T15:09:20.777909+05:30,28672000,,,,771252.0,10049.0,761068,,17772039,8114801,25886840.0,24273.0,25886840.0,1103977.0,1429
6,6,2021-11-31,HR,11.0,0.0,10,0,8476,15797,0,771215.1428571428,10049.0,761034.0,,17772039.0,8114801.0,Panchkula,1,0,2,,127,1033,0,,,,,456675,279951,558890,,,,30770.0,378.0,30379,,456675,279951,2021-11-03T15:09:20.777909+05:30,28672000,,,,771252.0,10049.0,761068,,17772039,8114801,25886840.0,24273.0,25886840.0,736626.0,1160
7,7,2021-11-31,HR,11.0,0.0,10,0,8476,15797,0,771215.1428571428,10049.0,761034.0,,17772039.0,8114801.0,Ambala,0,0,0,,100,587,0,,,,,873020,571772,1136784,,,,30150.0,509.0,29639,,873020,571772,2021-11-03T15:09:20.777909+05:30,28672000,,,,771252.0,10049.0,761068,,17772039,8114801,25886840.0,24273.0,25886840.0,1444792.0,687
8,8,2021-11-31,HR,11.0,0.0,10,0,8476,15797,0,771215.1428571428,10049.0,761034.0,,17772039.0,8114801.0,Sirsa,0,0,0,,47,92,0,,,,,786205,278920,1295114,,,,29282.0,508.0,28771,,786205,278920,2021-11-03T15:09:20.777909+05:30,28672000,,,,771252.0,10049.0,761068,,17772039,8114801,25886840.0,24273.0,25886840.0,1065125.0,139
9,9,2021-11-31,HR,11.0,0.0,10,0,8476,15797,0,771215.1428571428,10049.0,761034.0,,17772039.0,8114801.0,Rohtak,0,0,0,,311,953,0,,,,,674649,305282,1058683,,,,25903.0,534.0,25350,,674649,305282,2021-11-03T15:09:20.777909+05:30,28672000,,,,771252.0,10049.0,761068,,17772039,8114801,25886840.0,24273.0,25886840.0,979931.0,1264
