,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
0,0,0,0,0,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Foreign Evacuees,,,,,0,0,0,,,,,0,0,0,,,,,,,,0,0,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,,0
1,1,1,1,1,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Other State,,,,,0,0,0,,,,,0,0,0,,,,,,,,0,0,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,,0
2,2,2,2,2,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Adilabad,,,,,1688,2171,0,,,,,377951,91508,708952,,,,,,,,377951,91508,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,469459.0,3859
3,3,3,3,3,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Bhadradri Kothagudem,,,,,1499,2685,0,,,,,600682,207003,1304811,,,,,,,,600682,207003,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,807685.0,4184
4,4,4,4,4,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Hyderabad,,,,,7547,10780,0,,,,,3157792,1903997,3441992,,,,,,,,3157792,1903997,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,5061789.0,18327
5,5,5,5,5,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Jagtial,,,,,8042,2720,0,,,,,588968,193246,983414,,,,,,,,588968,193246,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,782214.0,10762
6,6,6,6,6,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Jangaon,,,,,4557,1561,0,,,,,332084,129768,582457,,,,,,,,332084,129768,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,461852.0,6118
7,7,7,7,7,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Jayashankar Bhupalapally,,,,,1197,3760,0,,,,,263510,130868,712257,,,,,,,,263510,130868,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,394378.0,4957
8,8,8,8,8,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Jogulamba Gadwal,,,,,2361,783,0,,,,,309280,60669,664971,,,,,,,,309280,60669,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,369949.0,3144
9,9,9,9,9,2021-11-31,TG,121,1,183,0,169417,141302,0,671113.2857142857,3953.285714285714,663069.0,,22666905.0,9913183.0,Kamareddy,,,,,2216,2757,0,,,,,559900,185933,972625,,,,,,,,559900,185933,2021-11-03 09:46:07.874821,37220000,,,,671463,3956,663498,,22666905,9913183,32580088.0,310719.0,32580088.0,745833.0,4973
