,Unnamed: 0,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
10,10,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Gopalganj,0,0,0,,5308,8468,0,,,,,1286763,481968,2558037,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,16685,94,16591,,1286763,481968,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1768731.0,13776
11,11,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Jamui,0,0,0,,1435,1416,0,,,,,800488,222093,1756078,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,9418,106,9312,,800488,222093,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1022581.0,2851
12,12,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Jehanabad,0,0,0,,498,1617,0,,,,,498448,184446,1124176,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,10783,109,10674,,498448,184446,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,682894.0,2115
13,13,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Kaimur,0,0,0,,1067,2183,0,,,,,801438,225437,1626900,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,4984,147,4837,,801438,225437,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1026875.0,3250
14,14,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Katihar,0,0,0,,2680,2966,0,,,,,1451838,403046,3068149,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,18145,94,18051,,1451838,403046,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1854884.0,5646
15,15,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Khagaria,0,0,0,,881,2118,0,,,,,775019,222012,1657599,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,10064,88,9976,,775019,222012,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,997031.0,2999
16,16,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Kishanganj,3,0,1,,1997,1445,0,,,,,757066,205274,1690948,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,10128,66,10057,,757066,205274,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,962340.0,3442
17,17,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Lakhisarai,0,0,0,,595,1005,0,,,,,461970,138407,1000717,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,7776,102,7674,,461970,138407,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,600377.0,1600
18,18,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Madhepura,0,0,0,,2700,4459,0,,,,,965767,260408,1994618,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,12547,111,12435,,965767,260408,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,1226175.0,7159
19,19,2021-11-31,BR,8,0,9,226443.0,117767,151374,0,726079.0,9661.0,716375.0,49880886.0,49871471.0,18343468.0,Madhubani,2,0,0,,2735,6686,0,,,,,1974159,680214,4476044,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,18365,339,18023,,1974159,680214,2021-11-03 09:39,119520000,2021-10-31 09:39,https://twitter.com/BiharHealthDept,,726098,9661,716390,50531824,49871471,18343468,68214939.0,269141.0,68214939.0,2654373.0,9421
