,Unnamed: 0,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
0,0,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Alipurduar,4,0,5,,579,1298,0,15575.0,102.0,15426.0,,949775,353666,1700000,,,,15589,102,15441,,949775,353666,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,1303441.0,1877
1,1,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Cooch Behar,10,0,13,,3386,395,0,,,,,1444232,421663,2822780,,,,29275,97,29060,,1444232,421663,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,1865895.0,3781
2,2,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Darjeeling,23,0,31,,945,1844,0,,,,,1324555,664306,1842034,,,,57143,539,56326,,1324555,664306,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,1988861.0,2789
3,3,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Kalimpong,2,0,4,,8,429,0,,,,,180713,124420,251642,,,,7036,54,6950,,180713,124420,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,305133.0,437
4,4,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Jalpaiguri,16,1,17,,9642,3130,0,,,,,1144138,410719,3869675,,,,41982,572,41256,,1144138,410719,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,1554857.0,12772
5,5,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Uttar Dinajpur,8,0,7,,0,0,0,,,,,1341457,436182,3000849,,,,19858,238,19559,,1341457,436182,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,1777639.0,0
6,6,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Dakshin Dinajpur,14,0,16,,724,998,0,,,,,1063493,363056,1670931,,,,17889,170,17573,,1063493,363056,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,1426549.0,1722
7,7,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Malda,32,0,8,,2191,1771,0,,,,,2029144,590497,3997970,,,,33406,186,33121,,2029144,590497,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,2619641.0,3962
8,8,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Murshidabad,5,0,8,,17667,1587,0,,,,,3952659,976111,7102430,,,,33993,328,33605,,3952659,976111,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,4928770.0,19254
9,9,2021-11-31,WB,914,15,913,0,207817,59002,0,1590045.1428571432,19104.0,1562851.0,,56183405.0,21558154.0,Nadia,31,1,48,,15875,1863,0,,,,,2798942,884320,5168488,,,,73333,859,72054,,2798942,884320,2021-11-03T15:09:53.235923+05:30,96906000,,,,1592908,19141,1565471,,56183405,21558154,77741559.0,266819.0,77741559.0,3683262.0,17738
