,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
0,0,0,0,0,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Bokaro,,,,,4337,4713,0,,,,,998834,338043,2061918,,,,,,,,998834,338043,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,1336877.0,9050
1,1,1,1,1,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Chatra,,,,,806,1633,0,,,,,455613,128333,1042304,,,,,,,,455613,128333,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,583946.0,2439
2,2,2,2,2,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Deoghar,,,,,1549,3650,0,,,,,570716,234108,1491879,,,,,,,,570716,234108,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,804824.0,5199
3,3,3,3,3,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Dhanbad,,,,,6009,4534,0,,,,,1191943,451480,2682662,,,,,,,,1191943,451480,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,1643423.0,10543
4,4,4,4,4,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Dumka,,,,,1446,2086,0,,,,,640168,232030,1321096,,,,,,,,640168,232030,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,872198.0,3532
5,5,5,5,5,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,East Singhbhum,,,,,1593,4296,0,,,,,1425969,665387,2291032,,,,,,,,1425969,665387,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,2091356.0,5889
6,6,6,6,6,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Garhwa,,,,,6692,6879,0,,,,,462748,155300,1322387,,,,,,,,462748,155300,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,618048.0,13571
7,7,7,7,7,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Giridih,,,,,3178,5150,0,,,,,997595,306343,2445203,,,,,,,,997595,306343,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,1303938.0,8328
8,8,8,8,8,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Godda,,,,,1076,2176,0,,,,,528786,200374,1311382,,,,,,,,528786,200374,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,729160.0,3252
9,9,9,9,9,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Gumla,,,,,666,893,0,,,,,388404,157257,1025656,,,,,,,,388404,157257,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,545661.0,1559
10,10,10,10,10,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Hazaribagh,,,,,3143,5108,0,,,,,869086,322245,1734005,,,,,,,,869086,322245,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,1191331.0,8251
11,11,11,11,11,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Jamtara,,,,,935,1338,0,,,,,382090,138554,790207,,,,,,,,382090,138554,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,520644.0,2273
12,12,12,12,12,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Khunti,,,,,342,540,0,,,,,227845,107593,530299,,,,,,,,227845,107593,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,335438.0,882
13,13,13,13,13,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Koderma,,,,,387,1493,0,,,,,363465,142102,717169,,,,,,,,363465,142102,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,505567.0,1880
14,14,14,14,14,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Latehar,,,,,1147,1008,0,,,,,296136,85927,725673,,,,,,,,296136,85927,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,382063.0,2155
15,15,15,15,15,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Lohardaga,,,,,1166,1129,0,,,,,174275,64259,461738,,,,,,,,174275,64259,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,238534.0,2295
16,16,16,16,16,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Pakur,,,,,4799,3825,0,,,,,382847,112766,899200,,,,,,,,382847,112766,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,495613.0,8624
17,17,17,17,17,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Palamu,,,,,5024,6710,0,,,,,793050,317784,1936319,,,,,,,,793050,317784,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,1110834.0,11734
18,18,18,18,18,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Ramgarh,,,,,723,1544,0,,,,,522740,186986,949159,,,,,,,,522740,186986,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,709726.0,2267
19,19,19,19,19,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Ranchi,,,,,3556,3682,0,,,,,1515670,659683,2912022,,,,,,,,1515670,659683,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,2175353.0,7238
20,20,20,20,20,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Sahibganj,,,,,1371,798,0,,,,,432319,133358,1150038,,,,,,,,432319,133358,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,565677.0,2169
21,21,21,21,21,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Saraikela-Kharsawan,,,,,1327,2225,0,,,,,506744,170205,1063458,,,,,,,,506744,170205,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,676949.0,3552
22,22,22,22,22,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Simdega,,,,,658,1670,0,,,,,278015,113729,599813,,,,,,,,278015,113729,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,391744.0,2328
23,23,23,23,23,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,West Singhbhum,,,,,2077,2397,0,,,,,632514,228004,1501619,,,,,,,,632514,228004,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,860518.0,4474
24,24,24,24,24,2021-11-31,JH,10,0,8,0,54007,69477,0,348730.0,5137.0,343462.0,,15037572.0,5651850.0,Unknown,10.0,0.0,8.0,,0,0,0,,,,,0,0,0,,,,348764.0,5138.0,343518.0,,0,0,2021-11-03 09:46:07.874821,37403000,,,,348764,5138,343518,,15037572,5651850,20689422.0,123484.0,20689422.0,,0
