"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","91417","3572","85720","2125"
"2","SAS Nagar","73091","3787","68226","1078"
"3","Jalandhar","65743","1781","62459","1503"
"4","Patiala","54919","5069","48476","1374"
"5","Amritsar","49412","1852","45960","1600"
"6","Bathinda","42918","1007","40859","1052"
"7","Hoshiarpur","31866","799","30067","1000"
"8","Gurdaspur","23069","544","21717","808"
"9","Pathankot","20689","1198","19055","436"
"10","Fazilka","20423","131","19761","531"
"11","Muktsar","18965","152","18288","525"
"12","Kapurthala","18375","399","17420","556"
"13","Sangrur","16093","307","14908","878"
"14","Mansa","15707","95","15231","381"
"15","Ferozepur","14773","282","13987","504"
"16","Faridkot","14246","280","13645","321"
"17","Ropar","13477","431","12618","428"
"18","SBS Nagar","11672","174","11108","390"
"19","FG Sahib","9685","751","8596","338"
"20","Moga","8912","216","8461","235"
"21","Tarn Taran","8353","272","7700","381"
"22","Barnala","6094","136","5710","248"
"","Total","629899","23235","589972","16692"
