"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","1724","1082667","2","19575"
"2","Thane","38","118460","0","2289"
"3","TMC","246","192126","0","2163"
"4","Navi Mumbai","227","169345","0","2090"
"5","KDMC","63","176696","0","2974"
"6","Ulhasnagar MC","12","26588","0","680"
"7","Bhivandi Nijampur MC","2","13169","0","496"
"8","Mira Bhayandar MC","58","77290","0","1227"
"9","Palghar","10","64762","0","1244"
