"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"30","Nagpur","576750","567301","9215","234"
"31","Wardha","65689","64278","1408","3"
"32","Bhandara","67961","66807","1142","12"
"33","Gondia","45425","44836","587","2"
"34","Chandrapur","98874","97265","1592","17"
"35","Gadchiroli","37000","36261","726","13"
"","Other states/country","144","31","113","0"
"","Total","7915418","7749276","147875","18267"
