"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","0","0","2081","20","2","0"
"East Jaintia Hills","1","0","0","2674","39","6","0"
"East Khasi Hills","6","9","0","47805","1078","37","20"
"Eastern West Khasi Hills","1","0","0","159","9","3","0"
"North Garo Hills","0","3","0","1918","10","0","0"
"Ri-Bhoi","3","6","0","10556","101","14","0"
"South Garo Hills","2","1","0","1437","15","5","3"
"South West Garo Hills","1","3","0","2250","21","8","0"
"South West Khasi Hills","1","1","0","2717","20","5","0"
"West Garo Hills","5","207","0","11777","84","33","7"
"West Jaintia Hills","1","1","0","7319","141","12","3"
"West Khasi Hills","0","0","0","5670","78","0","0"
"Total","21","231","0","96363","1616","125","33"
