,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10766,10637,129,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,991264,347616,353285,290363,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2340672,2325937,14733,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,110957217,44704330,47578776,18674111,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,2,2,16,41,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,67039,66739,296,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,1924584,961348,821819,141417,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,42,77,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746138,738084,8035,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,50335778,24813013,22150254,3372511,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,855241,842910,12314,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,157289380,73485493,67912239,15891648,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,1,22,23,334,505,1,,,1332900000,Bihar,119520000
5,Chandigarh,100686,99498,1185,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,2291274,1185678,991050,114546,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,29,64,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1187666,1173462,14189,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,49167901,21267786,20343749,7556366,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,389,809,4,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,1580040,782352,636962,160726,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,1,1,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2040736,2014046,26663,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,37408489,18297523,15717292,3393674,https://www.icmr.gov.in/,0,0,0,82,32,29,143,2,4,2,8,289,607,12,,,1332900000,Delhi,19814000
9,Goa,263248,259181,4014,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,2874477,1440045,1295735,138697,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,377,539,0,,,1332900000,Goa,1540000
10,Gujarat,1291333,1280233,11079,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,128104695,54398194,54032439,19674062,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,3,5,8,174,310,2,,,1332900000,Gujarat,67936000
11,Haryana,1078859,1068064,10754,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,45546251,23681648,19849139,2015464,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,1,0,1,183,500,4,,,1332900000,Haryana,28672000
12,Himachal Pradesh,322789,318515,4239,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,15325484,6646550,6328308,2350626,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,419,647,1,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,482002,477195,4792,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,24782265,11372601,11768145,1641519,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,110,211,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,443823,438487,5334,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,43875815,23969121,17860796,2045898,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,4,6,10,21,64,0,,,1332900000,Jharkhand,37403000
15,Karnataka,4088524,4048091,40356,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,122150463,55174562,55391505,11584396,https://www.icmr.gov.in/,0,0,0,82,32,29,143,1,0,0,1,745,1049,3,,,1332900000,Karnataka,65798000
16,Kerala,6906719,6833476,71935,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,57509848,29151095,25272025,3086728,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,1,9,10,3254,5867,38,,,1332900000,Kerala,35125000
17,Ladakh,29586,29353,231,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,567133,238303,204114,124716,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,11,11,0,,,1332900000,Ladakh,293000
18,Lakshadweep,11415,11363,52,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,145313,61813,60525,22975,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,0,0,0,,,1332900000,Lakshadweep,68000
19,Maharashtra,8169512,8020803,148553,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,177970631,91673722,76628590,9668319,https://www.icmr.gov.in/,0,0,0,82,32,29,143,10,9,17,36,1109,1806,11,,,1332900000,Maharashtra,122153000
20,Manipur,139973,137806,2149,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,3269105,1649469,1339220,280416,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,0,0,0,,,1332900000,Manipur,3103000
21,Meghalaya,96950,95320,1628,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,2625706,1446887,1087797,91022,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,45,53,2,,,1332900000,Meghalaya,3224000
22,Mizoram,239492,238727,733,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,1793298,894318,750177,148803,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,213,289,2,,,1332900000,Mizoram,1192000
23,Madhya Pradesh,1056344,1045553,10786,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,133940132,60749432,59233132,13957568,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,19,29,0,,,1332900000,Madhya Pradesh,82232000
24,Nagaland,36029,35246,782,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,1739837,923955,744983,70899,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,14,18,0,,,1332900000,Nagaland,2150000
25,Odisha,1348223,1338866,9215,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,81545914,35250835,33012178,13282901,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,7,7,634,3234,0,,,1332900000,Odisha,43671000
26,Puducherry,177532,175537,1981,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,2274059,994613,868099,411347,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,86,119,0,,,1332900000,Puducherry,1504000
27,Punjab,793609,773021,19338,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,47049886,24162777,20996133,1890976,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,1,1,1486,517,3,,,1332900000,Punjab,29859000
28,Rajasthan,1326438,1316682,9735,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,115719194,57035246,51038425,7645523,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,2,2,229,689,7,,,1332900000,Rajasthan,77264000
29,Sikkim,44842,44331,500,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,1360477,591877,554656,213944,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,94,119,0,,,1332900000,Sikkim,664000
30,Tamil Nadu,3610540,3572439,38080,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,127532057,61215560,57221240,9095257,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,237,673,5,,,1332900000,Tamil Nadu,75695000
31,Telangana,844311,840162,4111,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,77616035,32448312,31563371,13604352,https://www.icmr.gov.in/,0,0,0,82,32,29,143,2,1,10,13,272,386,0,,,1332900000,Telangana,37220000
32,Tripura,108291,107342,941,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,5918997,2916816,2523858,478323,https://www.icmr.gov.in/,0,0,0,82,32,29,143,0,0,0,0,117,152,1,,,1332900000,Tripura,3992000
33,Uttar Pradesh,2145367,2121542,23705,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,392008902,176999827,168969804,46039271,https://www.icmr.gov.in/,0,0,0,82,32,29,143,13,8,8,29,565,985,9,,,1332900000,Uttar Pradesh,224979000
34,Uttarakhand,452529,444752,7768,2023-06-12,TT,44992880,531891,44458639,2023-06-23 01:02:36.177595,931382907,2023-06-11 00:00:00,0,2206703658,1027410651,951977647,227315360,20143510,9118619,8733039,2291852,https://www.icmr.gov.in/,0,0,0,82,32,29,143,1,0,1,2,103,172,3,,,1332900000,Uttarakhand,11141000
