"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
03-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","5","181747","180746[5]","99.45","924","77","3404","10222","3891954"
"2","Faridabad","7","99961","99213[6]","99.25","717","31","2448","8377","2761965"
"3","Hisar","3","54002","52860","97.89","1136","6","806","4531","1446131"
"4","Sonepat","1","47145","46889[3]","99.46","254","2","1212","5218","1557515"
"5","Karnal","1","40042","39489[1]","98.62","552","1","1601","5724","1603218"
"6","Panipat","0","31154","30515","97.95","638","1","2137","5221","1276055"
"7","Panchkula","1","30839","30437[1]","98.70","379","23","453","2063","802866"
"8","Ambala","0","30152","29641","98.31","509","2","1066","6956","1593349"
"9","Sirsa","0","29283","28775","98.27","508","0","2652","6538","1215273"
"10","Rohtak","0","25917","25364","97.87","534","2","1533","3326","1104853"
"11","Yamunanagar","2","24649","24225","98.28","414","10","738","4567","1263448"
"12","Bhiwani","0","22410","21758","97.09","652","0","951","8702","1237893"
"13","Kurukshetra","0","22153","21795","98.38","357","1","817","3916","946982"
"14","Mahindergarh","0","21689","21534","99.29","155","0","788","3847","941127"
"15","Jind","0","21210","20677","97.49","533","0","899","4422","1078863"
"16","Rewari","0","20329","20108","98.91","221","0","902","5143","1062181"
"17","Jhajjar","0","18850","18516","98.23","328","0","847","3536","1100413"
"18","Fatehabad","0","17880","17398","97.30","482","0","490","2401","841166"
"19","Kaithal","0","11247","10899","96.91","346","2","1081","4541","981531"
"20","Palwal","0","11028","10875","98.61","153","0","1719","3172","982165"
"21","Charkhi Dadri","0","5079","4939","97.24","139","1","462","2011","675074"
"22","Nuh","0","5014","4891","97.55","123","0","6513","1556","715106"
"Total","","20","771780","761544[16]","98.67","10054","159","33519","105990","29079128"
