"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","0","0","2083","20","3","0"
"East Jaintia Hills","0","0","0","2676","39","3","0"
"East Khasi Hills","2","2","0","47842","1079","24","18"
"Eastern West Khasi Hills","0","0","0","161","9","1","0"
"North Garo Hills","0","0","0","1918","10","0","0"
"Ri-Bhoi","1","2","0","10570","101","11","1"
"South Garo Hills","0","0","0","1440","16","1","0"
"South West Garo Hills","0","3","0","2260","21","4","0"
"South West Khasi Hills","0","0","0","2720","20","3","1"
"West Garo Hills","3","7","0","11814","84","26","1"
"West Jaintia Hills","0","0","0","7323","141","3","0"
"West Khasi Hills","0","0","0","5670","78","0","0"
"Total","6","14","0","96477","1618","79","21"
