"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","0","0","0","0","1918","1902","16"
"East Jaintia Hills","1","0","1","0","2450","2417","32"
"East Khasi Hills","220","55","11","0","42168","40939","1009"
"North Garo Hills","1","1","0","0","1687","1678","8"
"Ri-Bhoi","7","3","1","0","9751","9654","90"
"South Garo Hills","0","0","0","0","1218","1206","12"
"South West Garo Hills","0","0","0","0","1873","1855","18"
"South West Khasi Hills","3","0","0","0","2553","2533","17"
"West Garo Hills","22","3","1","0","9115","9020","73"
"West Jaintia Hills","7","1","0","0","6831","6688","136"
"West Khasi Hills","1","1","0","0","5521","5446","74"
"Total","262","64","14","0","85085","83338","1485"
