"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","13","0","6","0","1899","1872","14"
"East Jaintia Hills","3","1","0","0","2441","2406","32"
"East Khasi Hills","258","13","10","0","41597","40344","995"
"North Garo Hills","0","0","0","0","1685","1677","8"
"Ri-Bhoi","11","0","1","0","9727","9626","90"
"South Garo Hills","0","0","0","0","1217","1205","12"
"South West Garo Hills","0","0","0","0","1873","1855","18"
"South West Khasi Hills","0","0","0","0","2549","2532","17"
"West Garo Hills","17","0","1","0","9075","8985","73"
"West Jaintia Hills","10","0","0","0","6819","6674","135"
"West Khasi Hills","23","2","2","0","5512","5415","74"
"Total","335","16","20","0","84394","82591","1468"
