"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2472","112948","2261","109750","30","3009","189"
"2","SAS Nagar","4299","99988","3857","98390","15","1163","435"
"3","Jalandhar","2203","80468","1827","78165","11","1951","352"
"4","Patiala","1712","63792","1453","61836","6","1717","239"
"5","Amritsar","997","60552","830","58538","4","1844","170"
"6","Bathinda","1167","52034","992","50435","2","1425","174"
"7","Hoshiarpur","951","42093","763","40495","11","1411","187"
"8","Gurdaspur","274","27201","216","26289","3","867","45"
"9","Pathankot","416","24918","364","24379","3","520","19"
"10","Fazilka","299","23731","296","23099","0","621","11"
"11","Muktsar","170","22722","141","22151","0","539","32"
"12","Kapurthala","409","22438","344","21786","3","595","57"
"13","Ropar","809","18747","654","18137","4","459","151"
"14","Ferozepur","348","18241","297","17657","2","539","45"
"15","Mansa","166","17391","158","16994","1","393","4"
"16","Faridkot","316","17151","282","16703","3","413","35"
"17","Sangrur","244","14678","219","13792","4","864","22"
"18","SBS Nagar","340","13742","296","13284","0","409","49"
"19","FG Sahib","550","12465","497","11977","1","437","51"
"20","Moga","162","11161","129","10860","3","269","32"
"21","Tarn Taran","100","11000","68","10573","1","399","28"
"22","Barnala","151","7651","140","7278","3","360","13"
"23","Malerkotla","50","4053","44","3835","3","214","4"
"","Total","18605","779165","16128","756403","113","20418","2344"
