"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1613","112089","1289","108778","20","2999","312"
"2","SAS Nagar","2623","98312","1961","96494","11","1159","659"
"3","Jalandhar","1101","79366","706","77044","6","1946","376"
"4","Patiala","1024","63104","758","61141","3","1714","249"
"5","Amritsar","502","60057","369","58077","2","1842","138"
"6","Bathinda","656","51523","458","49901","1","1424","198"
"7","Hoshiarpur","312","41454","210","39942","4","1404","108"
"8","Gurdaspur","164","27091","129","26202","2","866","23"
"9","Pathankot","274","24785","189","24204","0","517","64"
"10","Fazilka","183","23616","163","22966","0","621","29"
"11","Muktsar","87","22639","65","22075","0","539","25"
"12","Kapurthala","204","22233","145","21587","1","593","53"
"13","Ropar","339","18277","236","17719","1","456","102"
"14","Ferozepur","174","18067","145","17505","2","539","23"
"15","Mansa","123","17348","101","16937","1","393","18"
"16","Faridkot","197","17032","182","16603","3","413","16"
"17","Sangrur","151","14585","91","13664","2","862","59"
"18","SBS Nagar","150","13552","115","13103","0","409","40"
"19","FG Sahib","306","12221","231","11711","1","437","73"
"20","Moga","65","11064","43","10774","2","268","22"
"21","Tarn Taran","44","10944","34","10539","0","398","7"
"22","Barnala","82","7582","76","7214","0","357","11"
"23","Malerkotla","32","4036","29","3820","1","213","3"
"","Total","10406","770977","7725","748000","63","20369","2608"
