"S. No","Subject","Number"
"1","Total Number of people vaccinated on 13th Dec","51,164"
"2","First Dose on 13th Dec","6,242"
"3","Second Dose on 13th Dec","44,922"
"4","Cumulative Vaccination till 13th Dec","9,65,63,516"
"5","Cumulative Vaccination First Dose","6,38,76,985"
"6","Cumulative Vaccination Second Dose","3,26,86,531"
"7","Number of CVC (Common Vaccination Centres)","1,287"
"8","Cumulative AEFI cases reported","5,884"
"9","Vaccine wastage","-7%"
