"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","104","1148127","2","19725"
"2","Thane","13","120960","0","2290"
"3","TMC","25","202714","0","2191"
"4","Navi Mumbai","26","180884","0","2096"
"5","KDMC","13","180085","0","2978"
"6","Ulhasnagar MC","0","27293","0","686"
"7","Bhivandi Nijampur MC","1","13412","0","496"
"8","Mira Bhayandar MC","3","79848","0","1237"
"9","Palghar","1","65710","0","1244"
"10","Vasai Virar MC","9","102664","0","2177"
"11","Raigad","32","144425","0","3483"
"12","Panvel MC","12","111302","0","1487"
"","Mumbai circle total","239","2377424","2","40090"
"13","Nashik","12","186246","0","3817"
"14","Nashik MC","10","281112","0","4756"
"15","Malegaon MC","1","11157","0","345"
