"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87741","34","85591","2116"
"2","SAS Nagar","69077","43","67960","1074"
"3","Jalandhar","63574","42","62031","1501"
"4","Patiala","49022","22","47638","1362"
"5","Amritsar","47451","6","45846","1599"
"6","Bathinda","41817","7","40763","1047"
"7","Hoshiarpur","31019","31","29991","997"
"8","Gurdaspur","22418","4","21611","803"
"9","Fazilka","20287","4","19752","531"
"10","Pathankot","19024","36","18555","433"
"11","Muktsar","18807","1","18282","524"
"12","Kapurthala","17907","31","17320","556"
"13","Sangrur","15771","1","14895","875"
"14","Mansa","15612","2","15229","381"
"15","Ferozepur","14481","11","13966","504"
"16","Faridkot","13959","4","13635","320"
"17","Ropar","13009","4","12577","428"
"18","SBS Nagar","11481","6","11087","388"
"19","FG Sahib","8913","6","8569","338"
"20","Moga","8685","1","8450","234"
"21","Tarn Taran","8079","9","7689","381"
"22","Barnala","5958","9","5705","244"
"","Total","604092","314","587142","16636"
