"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","32","49","67048","8","4605","71647","0"
"Bageshwar","23","21","36656","2","2100","38752","0"
"Chamoli","36","16","50427","0","3249","53674","0"
"Champawat","62","22","63020","7","1927","64944","0"
"Dehradun","694","440","391362","86","35225","426452","94"
"Haridwar","103","41","315791","7","13436","329197","4"
"Nainital","235","221","96109","51","11799","107838","21"
"Pauri Garhwal","23","21","100883","1","5327","106203","0"
"Pithoragarh","25","25","43534","4","2591","46113","0"
"Rudraprayag","31","21","28614","0","2733","31347","0"
"Tehri Garhwal","103","109","41319","7","2454","43766","9"
"US Nagar","442","97","144713","8","8936","153625","32"
"Uttarkashi","35","1","45006","1","1750","46754","0"
"Total","1844","1084","1424482","182","96132","1520312","160"
