"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4605","4163","35","4","403"
"Bageshwar","2100","2003","1","0","96"
"Chamoli","3249","3130","7","3","109"
"Champawat","1927","1894","12","1","20"
"Dehradun","35225","33946","709","181","389"
"Haridwar","13436","13126","47","27","236"
"Nainital","11799","11487","228","29","55"
"Pauri Garhwal","5327","4324","13","19","971"
"Pithoragarh","2591","2433","14","4","140"
"Rudraprayag","2733","2586","14","2","131"
"Tehri Garhwal","2454","2038","20","7","389"
"U.S. Nagar","8936","8606","28","5","297"
"Uttarkashi","1750","1552","15","5","178"
"Total","96132","91288","1143","287","3414"
