"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","228737","222632","5888","217"
"12","Nashik","476584","467091","8916","577"
"13","Ahmednagar","379735","372100","7246","389"
"14","Jalgaon","150087","147262","2762","63"
"15","Nandurbar","46825","45826","963","36"
"16","Dhule","51294","50525","670","99"
"17","Aurangabad","178235","173710","4288","237"
"18","Jalna","67323","66000","1224","99"
"19","Beed","109574","106635","2887","52"
"20","Latur","105859","103166","2489","204"
"21","Parbhani","58713","57404","1280","29"
"22","Hingoli","22403","21856","515","32"
"23","Nanded","103069","100283","2704","82"
"24","Osmanabad","76083","73779","2139","165"
"25","Amravati","106738","104968","1625","145"
"26","Akola","66793","65278","1474","41"
"27","Washim","47113","46334","641","138"
"28","Buldhana","92887","91976","839","72"
"29","Yavatmal","82498","80584","1820","94"
"30","Nagpur","583566","572958","9216","1392"
"31","Wardha","66136","64648","1409","79"
"32","Bhandara","69129","67718","1142","269"
"33","Gondia","45731","45048","587","96"
"34","Chandrapur","99488","97751","1595","142"
