,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316691,14730,2304926,33526945
1,Anakapalli,2,0,0,0,2316691,14730,2304926,33526945
2,Anantapur,177611,0,0,0,2316691,14730,2304926,33526945
3,Annamayya,0,0,0,0,2316691,14730,2304926,33526945
4,Bapatla,0,0,0,0,2316691,14730,2304926,33526945
5,Chittoor,272394,0,0,0,2316691,14730,2304926,33526945
6,East Godavari,316586,0,0,0,2316691,14730,2304926,33526945
7,Eluru,0,0,0,0,2316691,14730,2304926,33526945
8,Guntur,203244,0,0,0,2316691,14730,2304926,33526945
9,Kakinada,0,0,0,0,2316691,14730,2304926,33526945
10,Konaseema,0,0,0,0,2316691,14730,2304926,33526945
11,Krishna,136897,0,0,0,2316691,14730,2304926,33526945
12,Kurnool,144244,0,0,0,2316691,14730,2304926,33526945
13,Nandyal,0,0,0,0,2316691,14730,2304926,33526945
14,NTR District,3,0,0,0,2316691,14730,2304926,33526945
15,Palnadu,0,0,0,0,2316691,14730,2304926,33526945
16,Parvathipuram Manyam,0,0,0,0,2316691,14730,2304926,33526945
17,Prakasam,155937,0,0,0,2316691,14730,2304926,33526945
18,S.P.S. Nellore,164374,0,0,0,2316691,14730,2304926,33526945
19,Sri Sathya Sai,0,0,0,0,2316691,14730,2304926,33526945
20,Srikakulam,133952,0,0,0,2316691,14730,2304926,33526945
21,Tirupati,0,0,0,0,2316691,14730,2304926,33526945
22,Visakhapatnam,190940,0,0,0,2316691,14730,2304926,33526945
23,Vizianagaram,92241,0,0,0,2316691,14730,2304926,33526945
24,West Godavari,193378,0,0,0,2316691,14730,2304926,33526945
25,Y.S.R. Kadapa,134888,0,0,0,2316691,14730,2304926,33526945
